TicketID,FeedbackTotal,FeedbackService,FeedbackFood,FeedbackPrices,FeedbackLocation,FeedbackNote
TKT0000051,4,6,7,1,4,Note for TKT0000051
TKT0000052,6,3,10,6,8,Note for TKT0000052
TKT0000053,3,5,3,4,3,Note for TKT0000053
TKT0000054,4,5,3,3,8,Note for TKT0000054
TKT0000055,4,4,5,7,2,Note for TKT0000055
TKT0000056,5,6,8,3,3,Note for TKT0000056
TKT0000057,5,2,8,3,9,Note for TKT0000057
TKT0000058,6,7,9,8,3,Note for TKT0000058
TKT0000059,5,4,2,7,9,Note for TKT0000059
TKT0000060,5,7,2,5,8,Note for TKT0000060
TKT0000061,3,7,1,3,3,Note for TKT0000061
TKT0000062,5,10,4,5,4,Note for TKT0000062
TKT0000063,7,8,10,7,5,Note for TKT0000063
TKT0000064,9,9,8,10,10,Note for TKT0000064
TKT0000065,5,1,8,7,7,Note for TKT0000065
TKT0000066,4,1,7,10,1,Note for TKT0000066
TKT0000067,3,1,4,3,4,Note for TKT0000067
TKT0000068,5,8,5,5,4,Note for TKT0000068
TKT0000069,7,8,8,4,9,Note for TKT0000069
TKT0000070,3,4,2,1,6,Note for TKT0000070
TKT0000071,3,5,3,2,3,Note for TKT0000071
TKT0000072,5,9,4,2,8,Note for TKT0000072
TKT0000073,6,6,10,5,5,Note for TKT0000073
TKT0000074,5,7,3,10,2,Note for TKT0000074
TKT0000075,5,8,5,5,2,Note for TKT0000075
TKT0000076,4,3,2,9,5,Note for TKT0000076
TKT0000077,4,4,7,1,5,Note for TKT0000077
TKT0000078,6,8,2,10,5,Note for TKT0000078
TKT0000079,5,6,5,9,2,Note for TKT0000079
TKT0000080,5,10,2,5,5,Note for TKT0000080
TKT0000081,6,3,4,7,10,Note for TKT0000081
TKT0000082,7,8,5,5,10,Note for TKT0000082
TKT0000083,5,10,1,7,4,Note for TKT0000083
TKT0000084,3,2,8,3,1,Note for TKT0000084
TKT0000085,5,9,3,1,7,Note for TKT0000085
TKT0000086,4,4,1,6,7,Note for TKT0000086
TKT0000087,5,3,4,7,8,Note for TKT0000087
TKT0000088,5,5,5,10,3,Note for TKT0000088
TKT0000089,5,8,1,3,8,Note for TKT0000089
TKT0000090,5,6,1,6,8,Note for TKT0000090
TKT0000091,7,9,8,9,3,Note for TKT0000091
TKT0000092,4,3,2,3,10,Note for TKT0000092
TKT0000093,4,5,6,3,2,Note for TKT0000093
TKT0000094,6,6,7,2,10,Note for TKT0000094
TKT0000095,5,2,9,8,2,Note for TKT0000095
TKT0000096,6,7,8,2,7,Note for TKT0000096
TKT0000097,5,5,5,5,5,Note for TKT0000097
TKT0000098,5,4,4,10,4,Note for TKT0000098
TKT0000099,4,3,1,6,9,Note for TKT0000099
TKT0000100,7,8,5,6,10,Note for TKT0000100
TKT0000101,4,1,3,7,8,Note for TKT0000101
TKT0000102,7,10,7,8,4,Note for TKT0000102
TKT0000103,5,6,7,5,5,Note for TKT0000103
TKT0000104,6,6,5,7,8,Note for TKT0000104
TKT0000105,6,10,3,8,4,Note for TKT0000105
TKT0000106,7,7,6,9,8,Note for TKT0000106
TKT0000107,8,10,7,7,9,Note for TKT0000107
TKT0000108,2,5,1,2,2,Note for TKT0000108
TKT0000109,2,1,7,2,1,Note for TKT0000109
TKT0000110,8,10,9,10,3,Note for TKT0000110
TKT0000111,5,7,5,1,8,Note for TKT0000111
TKT0000112,6,4,9,9,3,Note for TKT0000112
TKT0000113,5,4,2,7,9,Note for TKT0000113
TKT0000114,5,8,7,2,5,Note for TKT0000114
TKT0000115,6,6,4,9,6,Note for TKT0000115
TKT0000116,6,3,4,10,9,Note for TKT0000116
TKT0000117,5,4,8,4,4,Note for TKT0000117
TKT0000118,4,8,4,4,3,Note for TKT0000118
TKT0000119,5,4,6,5,5,Note for TKT0000119
TKT0000120,7,10,10,3,7,Note for TKT0000120
TKT0000121,5,6,2,4,9,Note for TKT0000121
TKT0000122,5,2,9,6,4,Note for TKT0000122
TKT0000123,7,8,8,8,6,Note for TKT0000123
TKT0000124,5,10,5,1,4,Note for TKT0000124
TKT0000125,8,8,8,9,8,Note for TKT0000125
TKT0000126,4,5,3,7,1,Note for TKT0000126
TKT0000127,5,4,2,10,7,Note for TKT0000127
TKT0000128,6,10,7,9,1,Note for TKT0000128
TKT0000129,4,4,3,6,3,Note for TKT0000129
TKT0000130,5,9,7,4,3,Note for TKT0000130
TKT0000131,5,4,6,4,7,Note for TKT0000131
TKT0000132,8,10,7,10,7,Note for TKT0000132
TKT0000133,4,6,2,7,2,Note for TKT0000133
TKT0000134,6,2,10,4,10,Note for TKT0000134
TKT0000135,6,8,4,8,7,Note for TKT0000135
TKT0000136,3,4,1,1,9,Note for TKT0000136
TKT0000137,5,10,7,4,1,Note for TKT0000137
TKT0000138,6,1,8,10,8,Note for TKT0000138
TKT0000139,4,3,9,5,1,Note for TKT0000139
TKT0000140,6,1,6,9,10,Note for TKT0000140
TKT0000141,5,7,3,3,8,Note for TKT0000141
TKT0000142,6,4,10,6,6,Note for TKT0000142
TKT0000143,6,3,5,9,10,Note for TKT0000143
TKT0000144,7,6,9,8,8,Note for TKT0000144
TKT0000145,5,3,6,6,5,Note for TKT0000145
TKT0000146,3,1,1,7,5,Note for TKT0000146
TKT0000147,4,5,5,3,4,Note for TKT0000147
TKT0000148,5,8,4,7,3,Note for TKT0000148
TKT0000149,6,9,3,9,6,Note for TKT0000149
TKT0000150,6,7,6,8,3,Note for TKT0000150
TKT0000151,4,1,3,10,3,Note for TKT0000151
TKT0000152,7,10,10,6,4,Note for TKT0000152
TKT0000153,5,5,7,3,7,Note for TKT0000153
TKT0000154,5,9,4,5,2,Note for TKT0000154
TKT0000155,7,9,7,9,3,Note for TKT0000155
TKT0000156,5,3,7,6,5,Note for TKT0000156
TKT0000157,3,4,2,6,3,Note for TKT0000157
TKT0000158,5,3,7,8,4,Note for TKT0000158
TKT0000159,6,10,3,6,5,Note for TKT0000159
TKT0000160,4,8,4,1,4,Note for TKT0000160
TKT0000161,4,2,7,6,4,Note for TKT0000161
TKT0000162,7,4,6,10,8,Note for TKT0000162
TKT0000163,2,3,4,2,1,Note for TKT0000163
TKT0000164,6,9,8,1,8,Note for TKT0000164
TKT0000165,6,6,6,10,4,Note for TKT0000165
TKT0000166,3,1,5,7,2,Note for TKT0000166
TKT0000167,6,6,8,9,1,Note for TKT0000167
TKT0000168,4,5,2,4,8,Note for TKT0000168
TKT0000169,7,8,10,9,3,Note for TKT0000169
TKT0000170,7,5,7,8,8,Note for TKT0000170
TKT0000171,5,2,3,7,8,Note for TKT0000171
TKT0000172,4,1,3,8,5,Note for TKT0000172
TKT0000173,3,4,2,3,5,Note for TKT0000173
TKT0000174,6,4,3,8,10,Note for TKT0000174
TKT0000175,7,9,7,8,5,Note for TKT0000175
TKT0000176,2,2,1,7,1,Note for TKT0000176
TKT0000177,5,2,10,3,8,Note for TKT0000177
TKT0000178,5,2,9,7,4,Note for TKT0000178
TKT0000179,5,6,4,3,10,Note for TKT0000179
TKT0000180,7,4,10,6,9,Note for TKT0000180
TKT0000181,5,3,1,8,10,Note for TKT0000181
TKT0000182,3,1,6,1,4,Note for TKT0000182
TKT0000183,4,7,2,6,2,Note for TKT0000183
TKT0000184,6,10,1,9,4,Note for TKT0000184
TKT0000185,7,7,10,7,7,Note for TKT0000185
TKT0000186,5,7,5,4,5,Note for TKT0000186
TKT0000187,6,8,8,5,4,Note for TKT0000187
TKT0000188,4,4,1,4,10,Note for TKT0000188
TKT0000189,6,6,3,8,8,Note for TKT0000189
TKT0000190,3,8,1,2,1,Note for TKT0000190
TKT0000191,3,3,7,3,2,Note for TKT0000191
TKT0000192,6,3,3,10,10,Note for TKT0000192
TKT0000193,6,5,4,6,9,Note for TKT0000193
TKT0000194,5,5,3,6,7,Note for TKT0000194
TKT0000195,2,2,4,1,3,Note for TKT0000195
TKT0000196,6,7,10,3,5,Note for TKT0000196
TKT0000197,5,6,8,3,3,Note for TKT0000197
TKT0000198,5,6,2,7,8,Note for TKT0000198
TKT0000199,6,10,9,3,3,Note for TKT0000199
TKT0000200,3,7,1,5,2,Note for TKT0000200
TKT0000201,7,9,8,9,4,Note for TKT0000201
TKT0000202,5,9,2,2,7,Note for TKT0000202
TKT0000203,2,2,4,3,1,Note for TKT0000203
TKT0000204,7,5,10,8,5,Note for TKT0000204
TKT0000205,5,4,4,7,7,Note for TKT0000205
TKT0000206,7,1,10,10,9,Note for TKT0000206
TKT0000207,5,5,1,10,6,Note for TKT0000207
TKT0000208,6,8,8,7,2,Note for TKT0000208
TKT0000209,5,4,1,10,8,Note for TKT0000209
TKT0000210,3,5,3,1,6,Note for TKT0000210
TKT0000211,4,6,3,3,7,Note for TKT0000211
TKT0000212,2,1,6,2,1,Note for TKT0000212
TKT0000213,6,7,5,9,3,Note for TKT0000213
TKT0000214,5,9,6,6,1,Note for TKT0000214
TKT0000215,6,1,5,10,10,Note for TKT0000215
TKT0000216,5,4,9,5,4,Note for TKT0000216
TKT0000217,6,10,6,5,5,Note for TKT0000217
TKT0000218,4,5,1,4,6,Note for TKT0000218
TKT0000219,5,1,8,10,4,Note for TKT0000219
TKT0000220,7,3,6,9,10,Note for TKT0000220
TKT0000221,6,9,5,3,10,Note for TKT0000221
TKT0000222,4,1,7,7,4,Note for TKT0000222
TKT0000223,4,5,1,9,3,Note for TKT0000223
TKT0000224,6,3,8,4,9,Note for TKT0000224
TKT0000225,7,5,9,10,5,Note for TKT0000225
TKT0000226,4,7,3,5,4,Note for TKT0000226
TKT0000227,5,8,9,4,1,Note for TKT0000227
TKT0000228,6,10,7,3,6,Note for TKT0000228
TKT0000229,4,6,2,8,3,Note for TKT0000229
TKT0000230,5,5,7,9,2,Note for TKT0000230
TKT0000231,5,3,5,6,7,Note for TKT0000231
TKT0000232,5,5,6,2,9,Note for TKT0000232
TKT0000233,3,1,2,4,5,Note for TKT0000233
TKT0000234,6,9,10,3,2,Note for TKT0000234
TKT0000235,4,3,1,4,10,Note for TKT0000235
TKT0000236,5,9,3,8,3,Note for TKT0000236
TKT0000237,6,7,7,4,8,Note for TKT0000237
TKT0000238,6,3,10,8,4,Note for TKT0000238
TKT0000239,4,8,1,4,4,Note for TKT0000239
TKT0000240,5,7,1,5,8,Note for TKT0000240
TKT0000241,4,3,5,1,10,Note for TKT0000241
TKT0000242,6,6,8,8,4,Note for TKT0000242
TKT0000243,3,3,3,5,1,Note for TKT0000243
TKT0000244,8,7,9,10,8,Note for TKT0000244
TKT0000245,5,2,3,6,9,Note for TKT0000245
TKT0000246,3,1,7,1,3,Note for TKT0000246
TKT0000247,3,3,5,5,1,Note for TKT0000247
TKT0000248,7,9,3,8,9,Note for TKT0000248
TKT0000249,4,2,8,3,3,Note for TKT0000249
TKT0000250,3,4,1,1,9,Note for TKT0000250
TKT0000251,4,4,2,9,2,Note for TKT0000251
TKT0000252,4,1,5,8,3,Note for TKT0000252
TKT0000253,6,7,1,6,10,Note for TKT0000253
TKT0000254,3,1,2,6,5,Note for TKT0000254
TKT0000255,5,8,3,3,6,Note for TKT0000255
TKT0000256,3,2,4,3,6,Note for TKT0000256
TKT0000257,4,6,7,1,2,Note for TKT0000257
TKT0000258,5,6,2,9,4,Note for TKT0000258
TKT0000259,6,7,1,10,7,Note for TKT0000259
TKT0000260,4,1,4,7,7,Note for TKT0000260
TKT0000261,4,2,6,7,3,Note for TKT0000261
TKT0000262,4,5,5,5,2,Note for TKT0000262
TKT0000263,6,5,5,7,10,Note for TKT0000263
TKT0000264,3,5,6,2,2,Note for TKT0000264
TKT0000265,5,7,9,4,1,Note for TKT0000265
TKT0000266,7,8,9,4,8,Note for TKT0000266
TKT0000267,6,6,9,4,8,Note for TKT0000267
TKT0000268,3,1,1,6,5,Note for TKT0000268
TKT0000269,3,3,1,8,1,Note for TKT0000269
TKT0000270,6,8,1,10,8,Note for TKT0000270
TKT0000271,5,5,10,2,5,Note for TKT0000271
TKT0000272,7,5,5,10,8,Note for TKT0000272
TKT0000273,3,2,4,1,5,Note for TKT0000273
TKT0000274,4,7,3,5,1,Note for TKT0000274
TKT0000275,4,2,7,5,2,Note for TKT0000275
TKT0000276,3,7,1,1,4,Note for TKT0000276
TKT0000277,6,8,4,5,8,Note for TKT0000277
TKT0000278,8,10,8,9,7,Note for TKT0000278
TKT0000279,5,10,9,1,3,Note for TKT0000279
TKT0000280,5,6,1,7,9,Note for TKT0000280
TKT0000281,6,7,7,5,5,Note for TKT0000281
TKT0000282,5,3,5,4,9,Note for TKT0000282
TKT0000283,5,5,5,2,9,Note for TKT0000283
TKT0000284,5,4,9,6,4,Note for TKT0000284
TKT0000285,9,9,10,8,10,Note for TKT0000285
TKT0000286,3,8,3,1,2,Note for TKT0000286
TKT0000287,6,2,10,5,9,Note for TKT0000287
TKT0000288,6,7,7,10,3,Note for TKT0000288
TKT0000289,5,4,3,3,10,Note for TKT0000289
TKT0000290,6,8,7,9,2,Note for TKT0000290
TKT0000291,5,5,6,3,6,Note for TKT0000291
TKT0000292,6,6,9,9,3,Note for TKT0000292
TKT0000293,4,7,5,3,1,Note for TKT0000293
TKT0000294,4,4,3,4,5,Note for TKT0000294
TKT0000295,3,6,1,3,4,Note for TKT0000295
TKT0000296,5,10,3,4,4,Note for TKT0000296
TKT0000297,5,8,6,3,5,Note for TKT0000297
TKT0000298,5,3,10,2,7,Note for TKT0000298
TKT0000299,6,6,9,2,9,Note for TKT0000299
TKT0000300,4,5,2,6,5,Note for TKT0000300
TKT0000301,7,6,10,8,7,Note for TKT0000301
TKT0000302,5,8,10,2,1,Note for TKT0000302
TKT0000303,5,5,4,8,5,Note for TKT0000303
TKT0000304,6,4,10,10,3,Note for TKT0000304
TKT0000305,5,2,9,8,2,Note for TKT0000305
TKT0000306,5,3,8,6,4,Note for TKT0000306
TKT0000307,3,5,6,1,2,Note for TKT0000307
TKT0000308,3,2,1,4,7,Note for TKT0000308
TKT0000309,4,8,7,2,2,Note for TKT0000309
TKT0000310,3,1,10,2,1,Note for TKT0000310
TKT0000311,5,10,1,7,4,Note for TKT0000311
TKT0000312,5,4,1,6,10,Note for TKT0000312
TKT0000313,5,8,5,6,3,Note for TKT0000313
TKT0000314,6,7,8,5,6,Note for TKT0000314
TKT0000315,4,2,10,2,4,Note for TKT0000315
TKT0000316,7,10,7,4,9,Note for TKT0000316
TKT0000317,5,4,7,5,4,Note for TKT0000317
TKT0000318,3,1,6,1,5,Note for TKT0000318
TKT0000319,6,3,7,7,10,Note for TKT0000319
TKT0000320,3,4,1,2,7,Note for TKT0000320
TKT0000321,6,10,4,3,8,Note for TKT0000321
TKT0000322,5,6,8,8,1,Note for TKT0000322
TKT0000323,5,6,8,1,6,Note for TKT0000323
TKT0000324,7,10,10,3,6,Note for TKT0000324
TKT0000325,6,9,8,6,4,Note for TKT0000325
TKT0000326,6,7,6,4,7,Note for TKT0000326
TKT0000327,6,3,5,6,10,Note for TKT0000327
TKT0000328,5,7,5,2,6,Note for TKT0000328
TKT0000329,4,1,2,7,9,Note for TKT0000329
TKT0000330,4,3,1,6,9,Note for TKT0000330
TKT0000331,5,4,8,1,9,Note for TKT0000331
TKT0000332,6,1,9,9,7,Note for TKT0000332
TKT0000333,5,1,2,10,9,Note for TKT0000333
TKT0000334,4,4,8,3,1,Note for TKT0000334
TKT0000335,3,1,3,6,3,Note for TKT0000335
TKT0000336,6,10,6,8,3,Note for TKT0000336
TKT0000337,6,3,6,10,6,Note for TKT0000337
TKT0000338,6,8,7,9,3,Note for TKT0000338
TKT0000339,6,3,10,4,9,Note for TKT0000339
TKT0000340,6,1,9,9,7,Note for TKT0000340
TKT0000341,7,10,2,7,10,Note for TKT0000341
TKT0000342,6,10,1,9,7,Note for TKT0000342
TKT0000343,9,9,9,9,9,Note for TKT0000343
TKT0000344,5,1,9,8,4,Note for TKT0000344
TKT0000345,6,9,6,2,7,Note for TKT0000345
TKT0000346,4,10,2,4,2,Note for TKT0000346
TKT0000347,4,7,6,3,1,Note for TKT0000347
TKT0000348,4,5,1,10,2,Note for TKT0000348
TKT0000349,7,10,4,5,9,Note for TKT0000349
TKT0000350,7,7,6,5,10,Note for TKT0000350
TKT0000351,6,4,7,10,4,Note for TKT0000351
TKT0000352,3,5,2,4,3,Note for TKT0000352
TKT0000353,4,1,8,1,6,Note for TKT0000353
TKT0000354,5,7,7,2,5,Note for TKT0000354
TKT0000355,5,5,6,6,4,Note for TKT0000355
TKT0000356,4,2,2,6,7,Note for TKT0000356
TKT0000357,5,3,6,8,4,Note for TKT0000357
TKT0000358,6,6,6,4,9,Note for TKT0000358
TKT0000359,8,6,9,8,10,Note for TKT0000359
TKT0000360,6,3,6,7,9,Note for TKT0000360
TKT0000361,5,6,8,2,6,Note for TKT0000361
TKT0000362,6,3,6,8,7,Note for TKT0000362
TKT0000363,5,2,9,10,1,Note for TKT0000363
TKT0000364,3,6,1,4,2,Note for TKT0000364
TKT0000365,2,2,6,2,1,Note for TKT0000365
TKT0000366,2,1,2,4,3,Note for TKT0000366
TKT0000367,7,10,3,7,10,Note for TKT0000367
TKT0000368,4,7,4,7,1,Note for TKT0000368
TKT0000369,8,10,9,7,7,Note for TKT0000369
TKT0000370,4,1,3,10,4,Note for TKT0000370
TKT0000371,5,8,2,5,7,Note for TKT0000371
TKT0000372,3,2,2,8,3,Note for TKT0000372
TKT0000373,7,7,4,10,8,Note for TKT0000373
TKT0000374,3,5,3,2,2,Note for TKT0000374
TKT0000375,3,2,1,6,6,Note for TKT0000375
TKT0000376,3,7,4,1,1,Note for TKT0000376
TKT0000377,6,5,6,3,10,Note for TKT0000377
TKT0000378,6,5,6,10,4,Note for TKT0000378
TKT0000379,6,3,8,10,5,Note for TKT0000379
TKT0000380,6,5,10,1,8,Note for TKT0000380
TKT0000381,4,10,4,1,4,Note for TKT0000381
TKT0000382,4,6,1,8,4,Note for TKT0000382
TKT0000383,3,1,2,7,3,Note for TKT0000383
TKT0000384,7,10,3,10,6,Note for TKT0000384
TKT0000385,5,7,8,2,5,Note for TKT0000385
TKT0000386,5,3,5,6,7,Note for TKT0000386
TKT0000387,8,10,7,10,8,Note for TKT0000387
TKT0000388,5,4,5,5,7,Note for TKT0000388
TKT0000389,8,7,10,7,9,Note for TKT0000389
TKT0000390,7,9,8,7,7,Note for TKT0000390
TKT0000391,6,5,5,6,9,Note for TKT0000391
TKT0000392,7,9,5,9,5,Note for TKT0000392
TKT0000393,6,7,5,10,4,Note for TKT0000393
TKT0000394,8,8,10,8,7,Note for TKT0000394
TKT0000395,5,1,10,8,4,Note for TKT0000395
TKT0000396,4,6,9,3,1,Note for TKT0000396
TKT0000397,4,9,6,3,1,Note for TKT0000397
TKT0000398,1,2,1,1,2,Note for TKT0000398
TKT0000399,5,8,4,10,1,Note for TKT0000399
TKT0000400,6,7,3,8,8,Note for TKT0000400
TKT0000401,6,8,1,9,7,Note for TKT0000401
TKT0000402,7,5,6,9,10,Note for TKT0000402
TKT0000403,4,7,2,6,1,Note for TKT0000403
TKT0000404,5,4,7,6,3,Note for TKT0000404
TKT0000405,5,10,6,2,2,Note for TKT0000405
TKT0000406,6,7,9,8,2,Note for TKT0000406
TKT0000407,9,10,10,10,6,Note for TKT0000407
TKT0000408,5,8,3,6,5,Note for TKT0000408
TKT0000409,6,7,8,8,2,Note for TKT0000409
TKT0000410,4,1,5,6,5,Note for TKT0000410
TKT0000411,6,9,9,4,5,Note for TKT0000411
TKT0000412,6,10,8,2,6,Note for TKT0000412
TKT0000413,6,9,10,2,6,Note for TKT0000413
TKT0000414,4,3,8,7,1,Note for TKT0000414
TKT0000415,5,3,2,10,6,Note for TKT0000415
TKT0000416,9,9,10,8,10,Note for TKT0000416
TKT0000417,2,4,1,1,3,Note for TKT0000417
TKT0000418,7,1,8,10,10,Note for TKT0000418
TKT0000419,6,9,1,10,4,Note for TKT0000419
TKT0000420,5,2,6,8,4,Note for TKT0000420
TKT0000421,6,4,4,10,8,Note for TKT0000421
TKT0000422,3,3,4,3,3,Note for TKT0000422
TKT0000423,7,10,7,10,2,Note for TKT0000423
TKT0000424,8,9,9,7,9,Note for TKT0000424
TKT0000425,3,1,6,4,4,Note for TKT0000425
TKT0000426,6,3,9,6,8,Note for TKT0000426
TKT0000427,6,10,3,3,9,Note for TKT0000427
TKT0000428,4,7,1,1,10,Note for TKT0000428
TKT0000429,5,5,5,7,5,Note for TKT0000429
TKT0000430,7,6,10,5,7,Note for TKT0000430
TKT0000431,7,6,9,5,8,Note for TKT0000431
TKT0000432,5,2,9,8,1,Note for TKT0000432
TKT0000433,7,5,7,6,10,Note for TKT0000433
TKT0000434,2,2,2,6,1,Note for TKT0000434
TKT0000435,6,10,5,6,3,Note for TKT0000435
TKT0000436,5,4,5,3,10,Note for TKT0000436
TKT0000437,7,6,7,10,7,Note for TKT0000437
TKT0000438,4,1,6,3,8,Note for TKT0000438
TKT0000439,6,2,8,9,6,Note for TKT0000439
TKT0000440,4,1,4,4,8,Note for TKT0000440
TKT0000441,3,4,3,7,1,Note for TKT0000441
TKT0000442,6,3,9,9,3,Note for TKT0000442
TKT0000443,5,7,9,2,2,Note for TKT0000443
TKT0000444,7,2,10,6,10,Note for TKT0000444
TKT0000445,6,10,7,4,6,Note for TKT0000445
TKT0000446,6,2,7,9,7,Note for TKT0000446
TKT0000447,3,4,3,4,4,Note for TKT0000447
TKT0000448,5,2,8,8,3,Note for TKT0000448
TKT0000449,3,8,4,2,1,Note for TKT0000449
TKT0000450,4,3,9,1,3,Note for TKT0000450
TKT0000451,6,5,10,9,3,Note for TKT0000451
TKT0000452,7,8,10,7,5,Note for TKT0000452
TKT0000453,6,9,3,10,2,Note for TKT0000453
TKT0000454,6,8,4,9,6,Note for TKT0000454
TKT0000455,8,9,7,8,10,Note for TKT0000455
TKT0000456,5,6,5,8,1,Note for TKT0000456
TKT0000457,8,10,9,9,6,Note for TKT0000457
TKT0000458,4,5,5,3,3,Note for TKT0000458
TKT0000459,5,6,1,7,9,Note for TKT0000459
TKT0000460,6,10,8,4,3,Note for TKT0000460
TKT0000461,5,8,4,5,6,Note for TKT0000461
TKT0000462,2,1,5,1,1,Note for TKT0000462
TKT0000463,4,6,5,6,1,Note for TKT0000463
TKT0000464,8,10,10,10,5,Note for TKT0000464
TKT0000465,3,8,4,1,2,Note for TKT0000465
TKT0000466,5,4,10,7,2,Note for TKT0000466
TKT0000467,6,10,7,3,5,Note for TKT0000467
TKT0000468,5,4,7,4,6,Note for TKT0000468
TKT0000469,5,6,10,4,2,Note for TKT0000469
TKT0000470,3,3,3,1,5,Note for TKT0000470
TKT0000471,3,3,3,1,5,Note for TKT0000471
TKT0000472,6,10,2,2,10,Note for TKT0000472
TKT0000473,5,1,2,9,10,Note for TKT0000473
TKT0000474,4,4,5,9,1,Note for TKT0000474
TKT0000475,6,9,10,4,2,Note for TKT0000475
TKT0000476,3,4,7,2,1,Note for TKT0000476
TKT0000477,5,5,6,1,10,Note for TKT0000477
TKT0000478,6,6,8,4,6,Note for TKT0000478
TKT0000479,7,7,10,4,7,Note for TKT0000479
TKT0000480,6,8,8,7,1,Note for TKT0000480
TKT0000481,5,1,9,8,5,Note for TKT0000481
TKT0000482,5,1,9,10,1,Note for TKT0000482
TKT0000483,4,6,6,3,1,Note for TKT0000483
TKT0000484,6,1,10,8,8,Note for TKT0000484
TKT0000485,3,5,3,1,5,Note for TKT0000485
TKT0000486,6,5,9,5,5,Note for TKT0000486
TKT0000487,6,8,4,7,8,Note for TKT0000487
TKT0000488,6,6,7,1,10,Note for TKT0000488
TKT0000489,5,7,5,2,7,Note for TKT0000489
TKT0000490,5,5,9,3,3,Note for TKT0000490
TKT0000491,5,5,7,3,6,Note for TKT0000491
TKT0000492,7,9,3,10,8,Note for TKT0000492
TKT0000493,6,9,9,7,1,Note for TKT0000493
TKT0000494,5,7,9,1,3,Note for TKT0000494
TKT0000495,6,2,9,9,5,Note for TKT0000495
TKT0000496,4,1,7,5,6,Note for TKT0000496
TKT0000497,6,5,10,8,3,Note for TKT0000497
TKT0000498,6,7,4,7,7,Note for TKT0000498
TKT0000499,6,10,6,5,3,Note for TKT0000499
TKT0000500,4,1,4,4,8,Note for TKT0000500
TKT0000501,8,9,8,6,10,Note for TKT0000501
TKT0000502,5,6,5,3,6,Note for TKT0000502
TKT0000503,7,3,9,10,6,Note for TKT0000503
TKT0000504,3,2,7,3,2,Note for TKT0000504
TKT0000505,6,7,1,6,10,Note for TKT0000505
TKT0000506,6,9,3,5,7,Note for TKT0000506
TKT0000507,7,10,10,6,3,Note for TKT0000507
TKT0000508,6,4,4,9,10,Note for TKT0000508
TKT0000509,6,9,9,1,5,Note for TKT0000509
TKT0000510,7,10,1,7,10,Note for TKT0000510
TKT0000511,8,8,8,10,9,Note for TKT0000511
TKT0000512,7,4,9,7,8,Note for TKT0000512
TKT0000513,6,5,1,10,10,Note for TKT0000513
TKT0000514,6,8,4,7,6,Note for TKT0000514
