SOTicketID,DishID,OrderTime,Quantity,Price
TKT0026436,4,2024-02-28 00:00:00,5,275000
TKT0054923,26,2024-02-24 00:00:00,3,75000
TKT0089357,25,2023-01-04 00:00:00,3,540000
TKT0095720,19,2024-05-01 00:00:00,4,60000
TKT0030728,19,2024-09-17 00:00:00,1,15000
TKT0057510,28,2024-08-31 00:00:00,5,175000
TKT0094789,27,2023-05-18 00:00:00,1,30000
TKT0025304,8,2023-04-20 00:00:00,3,225000
TKT0041306,13,2023-02-08 00:00:00,2,70000
TKT0077132,34,2023-08-17 00:00:00,3,150000
TKT0091700,31,2024-06-06 00:00:00,3,45000
TKT0087796,12,2023-05-25 00:00:00,2,60000
TKT0090456,7,2024-05-13 00:00:00,1,70000
TKT0013626,17,2024-06-18 00:00:00,5,150000
TKT0022449,12,2023-03-15 00:00:00,4,120000
TKT0018766,33,2024-12-14 00:00:00,1,35000
TKT0082260,40,2024-12-25 00:00:00,1,150000
TKT0081305,16,2023-05-21 00:00:00,2,40000
TKT0085574,27,2024-04-10 00:00:00,5,150000
TKT0072630,30,2024-02-29 00:00:00,3,90000
TKT0099880,6,2024-02-20 00:00:00,5,300000
TKT0066520,32,2024-08-17 00:00:00,2,80000
TKT0012711,9,2023-02-08 00:00:00,4,320000
TKT0059694,23,2024-03-25 00:00:00,1,200000
TKT0016818,15,2024-07-16 00:00:00,1,50000
TKT0021478,23,2024-04-13 00:00:00,2,400000
TKT0088957,37,2024-12-29 00:00:00,4,160000
TKT0034224,37,2024-07-10 00:00:00,3,120000
TKT0097873,29,2024-07-11 00:00:00,1,50000
TKT0063961,28,2024-02-08 00:00:00,2,70000
TKT0014849,39,2024-10-02 00:00:00,4,320000
TKT0074214,20,2024-08-26 00:00:00,2,80000
TKT0076631,28,2024-12-16 00:00:00,5,175000
TKT0059719,4,2023-11-14 00:00:00,5,275000
TKT0085375,8,2023-08-18 00:00:00,2,150000
TKT0060036,11,2023-06-03 00:00:00,1,100000
TKT0088495,32,2023-02-17 00:00:00,2,80000
TKT0016877,25,2023-07-05 00:00:00,4,720000
TKT0012029,7,2024-10-26 00:00:00,3,210000
TKT0031980,5,2023-01-27 00:00:00,2,130000
TKT0036979,12,2023-02-09 00:00:00,5,150000
TKT0086006,14,2024-10-16 00:00:00,4,160000
TKT0029559,18,2023-09-02 00:00:00,1,40000
TKT0047293,21,2023-10-11 00:00:00,5,175000
TKT0040156,11,2023-03-01 00:00:00,3,300000
TKT0039843,11,2023-06-04 00:00:00,1,100000
TKT0014514,40,2023-04-26 00:00:00,2,300000
TKT0081677,38,2024-06-26 00:00:00,5,325000
TKT0080350,22,2024-06-24 00:00:00,1,150000
TKT0057791,37,2023-02-05 00:00:00,1,40000
TKT0098694,39,2023-03-27 00:00:00,3,240000
TKT0083061,31,2023-07-16 00:00:00,1,15000
TKT0034356,5,2023-08-28 00:00:00,1,65000
TKT0067303,21,2024-04-28 00:00:00,5,175000
TKT0082956,25,2023-11-06 00:00:00,2,360000
TKT0099620,3,2024-08-20 00:00:00,3,135000
TKT0069366,8,2023-05-01 00:00:00,3,225000
TKT0041860,25,2023-09-23 00:00:00,1,180000
TKT0023337,11,2024-05-21 00:00:00,4,400000
TKT0091059,36,2024-07-26 00:00:00,3,165000
TKT0059095,34,2023-09-23 00:00:00,3,150000
TKT0091610,32,2024-09-23 00:00:00,4,160000
TKT0016975,39,2023-07-22 00:00:00,3,240000
TKT0095414,16,2023-11-19 00:00:00,5,100000
TKT0070747,27,2023-07-22 00:00:00,2,60000
TKT0040726,29,2023-04-21 00:00:00,1,50000
TKT0044435,34,2024-06-26 00:00:00,2,100000
TKT0055935,17,2023-09-18 00:00:00,1,30000
TKT0053782,22,2023-05-06 00:00:00,4,600000
TKT0099720,29,2024-06-29 00:00:00,2,100000
TKT0044316,15,2024-06-22 00:00:00,5,250000
TKT0094317,30,2024-07-31 00:00:00,3,90000
TKT0060813,5,2023-08-09 00:00:00,5,325000
TKT0074833,15,2023-11-18 00:00:00,1,50000
TKT0094767,40,2024-02-05 00:00:00,5,750000
TKT0037050,7,2023-08-18 00:00:00,5,350000
TKT0074818,37,2024-11-07 00:00:00,2,80000
TKT0083456,7,2024-10-07 00:00:00,4,280000
TKT0054242,6,2024-01-04 00:00:00,5,300000
TKT0024258,15,2023-06-01 00:00:00,3,150000
TKT0041011,32,2023-05-15 00:00:00,4,160000
TKT0073311,16,2024-09-06 00:00:00,5,100000
TKT0042000,36,2023-09-14 00:00:00,4,220000
TKT0073436,17,2024-09-01 00:00:00,3,90000
TKT0039026,11,2023-09-14 00:00:00,4,400000
TKT0068442,14,2023-10-22 00:00:00,4,160000
TKT0081198,40,2023-12-04 00:00:00,5,750000
TKT0027976,24,2024-11-23 00:00:00,2,500000
TKT0089744,17,2024-07-06 00:00:00,2,60000
TKT0022542,23,2024-02-02 00:00:00,5,1000000
TKT0078619,25,2023-08-15 00:00:00,4,720000
TKT0084904,29,2024-11-02 00:00:00,4,200000
TKT0068726,17,2023-08-14 00:00:00,3,90000
TKT0035152,20,2024-05-13 00:00:00,2,80000
TKT0042966,35,2024-08-26 00:00:00,1,60000
TKT0033238,11,2023-10-18 00:00:00,1,100000
TKT0073062,29,2023-05-08 00:00:00,5,250000
TKT0066820,38,2024-11-23 00:00:00,4,260000
TKT0061914,32,2024-05-14 00:00:00,3,120000
TKT0061203,32,2024-09-18 00:00:00,1,40000
TKT0036537,28,2023-03-16 00:00:00,2,70000
TKT0093635,37,2023-11-03 00:00:00,1,40000
TKT0021217,4,2023-06-23 00:00:00,1,55000
TKT0097248,30,2024-08-21 00:00:00,4,120000
TKT0033192,16,2024-07-22 00:00:00,1,20000
TKT0034720,25,2024-06-22 00:00:00,3,540000
TKT0046081,21,2024-07-17 00:00:00,4,140000
TKT0072777,23,2024-07-22 00:00:00,1,200000
TKT0012458,13,2024-08-27 00:00:00,3,105000
TKT0010792,13,2024-01-04 00:00:00,3,105000
TKT0075940,1,2023-02-17 00:00:00,5,250000
TKT0064371,1,2024-03-17 00:00:00,5,250000
TKT0032149,40,2024-09-24 00:00:00,2,300000
TKT0094693,1,2024-01-19 00:00:00,4,200000
TKT0029552,39,2024-10-16 00:00:00,5,400000
TKT0020542,22,2023-11-22 00:00:00,5,750000
TKT0097458,29,2024-07-03 00:00:00,1,50000
TKT0076433,15,2023-02-24 00:00:00,1,50000
TKT0038770,24,2024-03-11 00:00:00,3,750000
TKT0026310,37,2024-07-09 00:00:00,5,200000
TKT0014346,2,2024-01-31 00:00:00,4,240000
TKT0079774,24,2023-10-13 00:00:00,3,750000
TKT0094067,9,2024-01-24 00:00:00,5,400000
TKT0029922,26,2024-01-28 00:00:00,1,25000
TKT0018921,25,2023-11-19 00:00:00,2,360000
TKT0096912,36,2023-04-18 00:00:00,5,275000
TKT0073451,7,2023-02-21 00:00:00,1,70000
TKT0056990,18,2023-12-08 00:00:00,5,200000
TKT0065292,26,2023-12-26 00:00:00,3,75000
TKT0033150,39,2024-11-17 00:00:00,3,240000
TKT0064817,18,2023-05-11 00:00:00,4,160000
TKT0073560,6,2023-06-27 00:00:00,5,300000
TKT0040822,27,2024-09-03 00:00:00,3,90000
TKT0049338,27,2023-08-30 00:00:00,4,120000
TKT0024669,15,2023-08-12 00:00:00,4,200000
TKT0077349,23,2024-05-05 00:00:00,4,800000
TKT0051191,21,2023-12-13 00:00:00,2,70000
TKT0048415,24,2024-07-01 00:00:00,1,250000
TKT0034176,10,2024-06-04 00:00:00,5,425000
TKT0073741,23,2024-12-22 00:00:00,1,200000
TKT0043875,8,2024-02-17 00:00:00,5,375000
TKT0054078,28,2023-03-19 00:00:00,2,70000
TKT0035151,25,2023-09-21 00:00:00,1,180000
TKT0093435,10,2024-05-07 00:00:00,3,255000
TKT0074563,13,2024-09-19 00:00:00,5,175000
TKT0068886,26,2023-11-26 00:00:00,3,75000
TKT0031856,11,2024-04-20 00:00:00,1,100000
TKT0069611,12,2023-11-12 00:00:00,4,120000
TKT0084563,11,2024-08-17 00:00:00,1,100000
TKT0042943,10,2024-09-21 00:00:00,1,85000
TKT0070920,25,2023-12-07 00:00:00,2,360000
TKT0023688,39,2023-06-21 00:00:00,2,160000
TKT0021657,35,2023-01-23 00:00:00,3,180000
TKT0081661,30,2023-01-16 00:00:00,3,90000
TKT0091879,18,2024-11-27 00:00:00,5,200000
TKT0098894,31,2024-03-14 00:00:00,3,45000
TKT0067477,14,2023-09-21 00:00:00,2,80000
TKT0062864,30,2024-10-02 00:00:00,1,30000
TKT0036679,12,2024-01-17 00:00:00,2,60000
TKT0096867,10,2024-12-25 00:00:00,3,255000
TKT0092367,23,2024-08-01 00:00:00,2,400000
TKT0052034,20,2024-01-10 00:00:00,3,120000
TKT0030976,18,2023-09-28 00:00:00,5,200000
TKT0047049,4,2023-05-26 00:00:00,3,165000
TKT0072055,11,2023-08-30 00:00:00,5,500000
TKT0040552,34,2023-05-09 00:00:00,3,150000
TKT0041613,17,2023-05-22 00:00:00,2,60000
TKT0081531,22,2024-02-21 00:00:00,3,450000
TKT0072493,7,2024-01-22 00:00:00,2,140000
TKT0095825,24,2024-08-10 00:00:00,4,1000000
TKT0059596,18,2024-08-12 00:00:00,3,120000
TKT0099217,6,2023-07-28 00:00:00,3,180000
TKT0066148,1,2024-12-26 00:00:00,3,150000
TKT0059911,13,2024-04-25 00:00:00,2,70000
TKT0067289,6,2023-04-30 00:00:00,2,120000
TKT0013309,15,2024-11-28 00:00:00,3,150000
TKT0053493,32,2024-09-20 00:00:00,5,200000
TKT0089683,17,2024-05-09 00:00:00,4,120000
TKT0035052,16,2023-12-04 00:00:00,1,20000
TKT0047765,36,2023-11-28 00:00:00,1,55000
TKT0016297,27,2024-07-07 00:00:00,4,120000
TKT0078503,15,2024-10-31 00:00:00,2,100000
TKT0086583,34,2023-02-05 00:00:00,5,250000
TKT0064157,38,2023-09-29 00:00:00,5,325000
TKT0094323,14,2024-02-14 00:00:00,2,80000
TKT0035066,32,2023-02-01 00:00:00,4,160000
TKT0061972,36,2024-02-17 00:00:00,4,220000
TKT0084756,21,2024-04-20 00:00:00,4,140000
TKT0098133,37,2023-12-27 00:00:00,4,160000
TKT0044721,11,2023-05-03 00:00:00,3,300000
TKT0077266,10,2024-04-05 00:00:00,1,85000
TKT0096804,19,2023-03-20 00:00:00,5,75000
TKT0043180,6,2024-09-24 00:00:00,3,180000
TKT0042386,3,2024-08-06 00:00:00,1,45000
TKT0040398,40,2023-04-28 00:00:00,2,300000
TKT0016746,28,2023-09-05 00:00:00,4,140000
TKT0014185,12,2023-06-01 00:00:00,5,150000
TKT0051007,6,2023-09-21 00:00:00,1,60000
TKT0055376,3,2023-07-29 00:00:00,4,180000
TKT0075705,37,2023-11-18 00:00:00,1,40000
TKT0083362,21,2024-10-13 00:00:00,1,35000
TKT0030992,17,2023-01-06 00:00:00,5,150000
TKT0090135,8,2023-10-22 00:00:00,4,300000
TKT0011660,34,2024-11-12 00:00:00,2,100000
TKT0013961,7,2023-12-03 00:00:00,1,70000
TKT0039508,14,2023-12-22 00:00:00,2,80000
TKT0020507,12,2023-08-10 00:00:00,1,30000
TKT0086489,24,2024-12-26 00:00:00,3,750000
TKT0015331,26,2023-01-16 00:00:00,4,100000
TKT0054635,22,2023-03-14 00:00:00,1,150000
TKT0064139,33,2024-07-29 00:00:00,1,35000
TKT0088669,33,2024-09-29 00:00:00,4,140000
TKT0066474,5,2023-11-05 00:00:00,4,260000
TKT0018312,5,2024-02-05 00:00:00,5,325000
TKT0058212,35,2023-12-19 00:00:00,5,300000
TKT0040907,27,2023-06-30 00:00:00,1,30000
TKT0017537,32,2023-07-24 00:00:00,1,40000
TKT0096221,15,2024-10-03 00:00:00,1,50000
TKT0028477,35,2024-09-24 00:00:00,3,180000
TKT0090167,6,2024-06-14 00:00:00,5,300000
TKT0086996,40,2024-11-18 00:00:00,1,150000
TKT0081841,15,2023-09-15 00:00:00,4,200000
TKT0039862,24,2023-01-27 00:00:00,4,1000000
TKT0034397,26,2023-10-02 00:00:00,2,50000
TKT0085406,34,2023-01-31 00:00:00,3,150000
TKT0039372,14,2024-02-12 00:00:00,4,160000
TKT0076314,12,2024-04-25 00:00:00,5,150000
TKT0086126,26,2023-12-27 00:00:00,1,25000
TKT0069989,35,2024-04-24 00:00:00,5,300000
TKT0091694,4,2024-02-05 00:00:00,5,275000
TKT0075906,17,2024-01-05 00:00:00,3,90000
TKT0038113,22,2023-05-08 00:00:00,1,150000
TKT0096593,7,2024-02-28 00:00:00,4,280000
TKT0045865,38,2023-08-17 00:00:00,1,65000
TKT0020934,25,2023-12-21 00:00:00,2,360000
TKT0057100,37,2024-05-31 00:00:00,4,160000
TKT0092919,24,2024-02-14 00:00:00,4,1000000
TKT0041115,3,2023-12-14 00:00:00,3,135000
TKT0021099,29,2023-09-19 00:00:00,4,200000
TKT0026850,33,2023-03-07 00:00:00,1,35000
TKT0014515,8,2024-02-21 00:00:00,1,75000
TKT0077707,15,2024-10-25 00:00:00,3,150000
TKT0078744,31,2024-01-29 00:00:00,1,15000
TKT0045578,34,2024-12-09 00:00:00,1,50000
TKT0076641,28,2024-10-20 00:00:00,3,105000
TKT0061368,16,2024-09-15 00:00:00,2,40000
TKT0024657,40,2023-10-17 00:00:00,1,150000
TKT0027078,30,2024-11-18 00:00:00,4,120000
TKT0094902,18,2023-11-27 00:00:00,2,80000
TKT0089083,40,2023-03-02 00:00:00,2,300000
TKT0096575,25,2023-06-30 00:00:00,3,540000
TKT0092362,7,2024-06-07 00:00:00,5,350000
TKT0064923,25,2023-09-18 00:00:00,5,900000
TKT0017254,1,2024-10-13 00:00:00,1,50000
TKT0080373,29,2024-01-19 00:00:00,1,50000
TKT0043484,16,2023-02-07 00:00:00,5,100000
TKT0020194,35,2024-04-03 00:00:00,3,180000
TKT0073626,1,2023-12-20 00:00:00,5,250000
TKT0098032,23,2024-02-06 00:00:00,5,1000000
TKT0069322,26,2024-02-29 00:00:00,5,125000
TKT0083094,25,2023-08-01 00:00:00,3,540000
TKT0072979,32,2023-08-29 00:00:00,3,120000
TKT0010005,25,2024-06-10 00:00:00,5,900000
TKT0037385,37,2023-11-25 00:00:00,2,80000
TKT0051090,31,2023-01-07 00:00:00,5,75000
TKT0014167,2,2023-05-21 00:00:00,3,180000
TKT0066497,4,2023-06-04 00:00:00,1,55000
TKT0016724,38,2024-07-09 00:00:00,2,130000
TKT0048536,12,2023-08-01 00:00:00,3,90000
TKT0047273,34,2024-02-22 00:00:00,2,100000
TKT0056891,22,2023-06-20 00:00:00,2,300000
TKT0054948,40,2024-08-30 00:00:00,2,300000
TKT0083032,35,2023-09-26 00:00:00,2,120000
TKT0052056,4,2024-10-28 00:00:00,2,110000
TKT0050700,1,2023-03-04 00:00:00,5,250000
TKT0054035,39,2024-09-11 00:00:00,2,160000
TKT0043095,22,2023-06-01 00:00:00,3,450000
TKT0056134,15,2024-05-22 00:00:00,3,150000
TKT0072750,6,2023-09-22 00:00:00,4,240000
TKT0083640,29,2024-11-08 00:00:00,3,150000
TKT0039403,34,2024-01-04 00:00:00,5,250000
TKT0090262,2,2023-03-25 00:00:00,1,60000
TKT0048079,36,2023-08-08 00:00:00,2,110000
TKT0065619,36,2023-03-01 00:00:00,2,110000
TKT0067278,13,2024-07-14 00:00:00,1,35000
TKT0026910,20,2024-09-14 00:00:00,4,160000
TKT0038794,39,2024-12-06 00:00:00,2,160000
TKT0067322,29,2023-10-06 00:00:00,1,50000
TKT0044918,17,2023-09-08 00:00:00,4,120000
TKT0096434,31,2024-01-01 00:00:00,5,75000
TKT0070105,31,2023-11-04 00:00:00,2,30000
TKT0050497,4,2023-03-22 00:00:00,2,110000
TKT0042261,39,2023-10-08 00:00:00,4,320000
TKT0010087,35,2024-01-03 00:00:00,2,120000
TKT0089625,30,2024-07-29 00:00:00,1,30000
TKT0029306,12,2024-03-03 00:00:00,3,90000
TKT0078056,2,2023-01-20 00:00:00,4,240000
TKT0015240,18,2023-09-22 00:00:00,3,120000
TKT0074645,18,2024-05-13 00:00:00,1,40000
TKT0072890,15,2023-09-21 00:00:00,5,250000
TKT0074210,19,2024-08-01 00:00:00,2,30000
TKT0090344,6,2023-12-31 00:00:00,3,180000
TKT0053871,20,2023-10-27 00:00:00,5,200000
TKT0093934,21,2023-05-06 00:00:00,3,105000
TKT0044147,2,2023-08-04 00:00:00,2,120000
TKT0047701,40,2024-10-12 00:00:00,5,750000
TKT0021572,11,2023-04-20 00:00:00,4,400000
TKT0073299,38,2023-04-06 00:00:00,4,260000
TKT0067145,17,2024-12-19 00:00:00,3,90000
TKT0010077,17,2024-11-28 00:00:00,3,90000
TKT0087561,39,2024-11-02 00:00:00,3,240000
TKT0051972,10,2023-10-13 00:00:00,4,340000
TKT0037917,20,2023-08-30 00:00:00,1,40000
TKT0073106,11,2023-02-07 00:00:00,3,300000
TKT0059377,4,2024-12-17 00:00:00,4,220000
TKT0068631,20,2023-06-11 00:00:00,3,120000
TKT0032162,39,2024-03-20 00:00:00,5,400000
TKT0078783,5,2024-03-13 00:00:00,2,130000
TKT0090872,17,2024-10-15 00:00:00,4,120000
TKT0022991,33,2023-07-24 00:00:00,4,140000
TKT0044788,24,2024-10-15 00:00:00,3,750000
TKT0013650,38,2024-07-15 00:00:00,5,325000
TKT0077330,20,2023-12-06 00:00:00,5,200000
TKT0026714,12,2023-10-28 00:00:00,4,120000
TKT0088295,23,2024-12-20 00:00:00,4,800000
TKT0045047,21,2024-02-15 00:00:00,3,105000
TKT0056673,8,2024-01-03 00:00:00,1,75000
TKT0066517,18,2024-02-12 00:00:00,3,120000
TKT0044061,12,2023-04-04 00:00:00,3,90000
TKT0077447,25,2024-11-06 00:00:00,4,720000
TKT0037852,6,2023-05-02 00:00:00,4,240000
TKT0064139,13,2023-03-02 00:00:00,3,105000
TKT0061950,23,2024-11-26 00:00:00,5,1000000
TKT0061164,30,2023-04-17 00:00:00,5,150000
TKT0064432,21,2024-08-22 00:00:00,2,70000
TKT0072777,20,2023-12-22 00:00:00,1,40000
TKT0042603,39,2023-07-03 00:00:00,1,80000
TKT0079518,6,2024-05-09 00:00:00,3,180000
TKT0077327,23,2024-05-03 00:00:00,3,600000
TKT0078714,1,2023-01-29 00:00:00,5,250000
TKT0035076,22,2023-01-13 00:00:00,1,150000
TKT0074966,26,2024-08-14 00:00:00,1,25000
TKT0041154,11,2023-04-01 00:00:00,3,300000
TKT0033743,5,2024-05-12 00:00:00,3,195000
TKT0025933,33,2023-02-21 00:00:00,2,70000
TKT0074057,23,2023-04-13 00:00:00,1,200000
TKT0040562,31,2023-03-20 00:00:00,1,15000
TKT0059393,30,2024-06-04 00:00:00,5,150000
TKT0033795,36,2024-07-05 00:00:00,4,220000
TKT0084504,23,2023-05-16 00:00:00,3,600000
TKT0089124,18,2024-11-30 00:00:00,3,120000
TKT0026194,11,2023-10-11 00:00:00,5,500000
TKT0086295,11,2024-05-01 00:00:00,3,300000
TKT0015556,5,2023-04-15 00:00:00,3,195000
TKT0015242,22,2024-02-10 00:00:00,4,600000
TKT0042116,29,2024-04-03 00:00:00,5,250000
TKT0043705,17,2023-11-13 00:00:00,1,30000
TKT0082737,34,2024-06-05 00:00:00,1,50000
TKT0098182,15,2024-10-05 00:00:00,1,50000
TKT0030353,32,2024-02-02 00:00:00,3,120000
TKT0010363,18,2023-12-29 00:00:00,1,40000
TKT0095928,18,2024-06-02 00:00:00,2,80000
TKT0080654,21,2023-09-02 00:00:00,4,140000
TKT0014029,17,2024-02-14 00:00:00,4,120000
TKT0067497,37,2024-06-20 00:00:00,5,200000
TKT0047555,16,2024-06-23 00:00:00,2,40000
TKT0095912,31,2023-06-03 00:00:00,5,75000
TKT0094630,14,2023-08-11 00:00:00,4,160000
TKT0072445,19,2023-10-21 00:00:00,4,60000
TKT0067708,4,2024-03-26 00:00:00,4,220000
TKT0077329,29,2024-06-14 00:00:00,1,50000
TKT0030872,4,2024-08-26 00:00:00,1,55000
TKT0087663,11,2023-09-11 00:00:00,5,500000
TKT0023852,33,2024-04-25 00:00:00,1,35000
TKT0055585,29,2024-08-09 00:00:00,2,100000
TKT0097309,13,2024-07-01 00:00:00,4,140000
TKT0070704,26,2023-05-05 00:00:00,5,125000
TKT0034536,21,2024-05-20 00:00:00,4,140000
TKT0053171,19,2023-05-01 00:00:00,2,30000
TKT0078224,20,2024-03-11 00:00:00,2,80000
TKT0070763,28,2024-09-15 00:00:00,2,70000
TKT0095272,37,2024-05-31 00:00:00,1,40000
TKT0065912,2,2023-03-24 00:00:00,1,60000
TKT0053417,19,2024-09-25 00:00:00,5,75000
TKT0071382,15,2024-04-04 00:00:00,1,50000
TKT0065840,40,2024-02-20 00:00:00,1,150000
TKT0087870,22,2024-04-27 00:00:00,3,450000
TKT0054194,25,2023-02-06 00:00:00,2,360000
TKT0012594,7,2024-05-01 00:00:00,4,280000
TKT0068744,5,2024-01-18 00:00:00,2,130000
TKT0079969,22,2023-02-25 00:00:00,4,600000
TKT0064956,13,2023-12-26 00:00:00,5,175000
TKT0057222,29,2023-10-01 00:00:00,2,100000
TKT0076003,19,2024-10-08 00:00:00,4,60000
TKT0018334,13,2024-03-11 00:00:00,3,105000
TKT0093491,8,2024-02-18 00:00:00,3,225000
TKT0079894,34,2023-04-01 00:00:00,5,250000
TKT0080062,8,2023-01-29 00:00:00,5,375000
TKT0063748,40,2024-09-26 00:00:00,2,300000
TKT0010753,37,2023-09-06 00:00:00,4,160000
TKT0095096,13,2023-11-01 00:00:00,5,175000
TKT0032851,19,2024-01-14 00:00:00,1,15000
TKT0083200,20,2023-08-08 00:00:00,4,160000
TKT0046426,39,2023-09-07 00:00:00,1,80000
TKT0037875,35,2024-01-14 00:00:00,5,300000
TKT0016486,32,2023-02-07 00:00:00,3,120000
TKT0075803,13,2024-10-02 00:00:00,5,175000
TKT0099426,9,2024-01-20 00:00:00,5,400000
TKT0069161,10,2024-06-27 00:00:00,5,425000
TKT0046892,2,2023-12-21 00:00:00,1,60000
TKT0011165,33,2024-04-16 00:00:00,4,140000
TKT0034560,33,2024-08-25 00:00:00,1,35000
TKT0034385,37,2024-03-02 00:00:00,2,80000
TKT0022056,1,2023-02-11 00:00:00,3,150000
TKT0054418,18,2024-06-15 00:00:00,5,200000
TKT0030675,33,2023-03-12 00:00:00,5,175000
TKT0080486,32,2024-04-02 00:00:00,5,200000
TKT0072162,5,2023-06-10 00:00:00,3,195000
TKT0030666,39,2024-08-20 00:00:00,4,320000
TKT0035277,32,2024-01-19 00:00:00,2,80000
TKT0057199,31,2023-12-27 00:00:00,2,30000
TKT0048853,16,2024-12-06 00:00:00,5,100000
TKT0065558,17,2023-07-23 00:00:00,5,150000
TKT0071528,10,2024-10-12 00:00:00,5,425000
TKT0095407,21,2024-09-16 00:00:00,1,35000
TKT0064684,14,2023-01-25 00:00:00,1,40000
TKT0014194,11,2023-10-25 00:00:00,4,400000
TKT0037884,23,2023-11-22 00:00:00,4,800000
TKT0096880,14,2024-07-08 00:00:00,4,160000
TKT0035777,39,2023-10-28 00:00:00,2,160000
TKT0055244,15,2023-11-13 00:00:00,5,250000
TKT0049343,27,2024-04-27 00:00:00,3,90000
TKT0015383,1,2023-12-10 00:00:00,1,50000
TKT0018070,15,2023-01-01 00:00:00,5,250000
TKT0081458,7,2023-12-04 00:00:00,5,350000
TKT0073798,37,2024-08-22 00:00:00,5,200000
TKT0033220,39,2024-10-01 00:00:00,4,320000
TKT0064744,39,2023-03-23 00:00:00,3,240000
TKT0059140,37,2024-11-08 00:00:00,1,40000
TKT0087586,39,2024-03-28 00:00:00,5,400000
TKT0070375,36,2024-12-27 00:00:00,2,110000
TKT0089328,37,2023-10-04 00:00:00,5,200000
TKT0073094,8,2023-02-05 00:00:00,1,75000
TKT0022135,13,2023-12-07 00:00:00,3,105000
TKT0066034,21,2024-07-06 00:00:00,3,105000
TKT0073049,6,2024-09-18 00:00:00,4,240000
TKT0037641,9,2023-08-23 00:00:00,4,320000
TKT0052683,20,2023-08-19 00:00:00,5,200000
TKT0062898,16,2023-05-30 00:00:00,4,80000
TKT0039192,9,2023-08-16 00:00:00,4,320000
TKT0018726,9,2024-08-18 00:00:00,1,80000
TKT0084301,5,2023-01-06 00:00:00,3,195000
TKT0068962,19,2024-01-15 00:00:00,2,30000
TKT0030336,20,2023-02-15 00:00:00,2,80000
TKT0029590,20,2024-12-29 00:00:00,1,40000
TKT0037164,40,2024-07-09 00:00:00,5,750000
TKT0046959,32,2024-08-06 00:00:00,4,160000
TKT0028942,16,2024-07-13 00:00:00,1,20000
TKT0025079,33,2023-06-02 00:00:00,3,105000
