MCCCD,MemberCardNumber,CreatedDate,SupportEmp,MemberCardRank,MemberCardPoints,MemberCardAcquiredRankDate
0000000333,MC74706,2020-08-14 00:00:00,02533,SILVER,40,2021-03-22 00:00:00
0000000334,MC63393,2019-12-19 00:00:00,03661,GOLD,33,2020-09-19 00:00:00
0000000337,MC39237,2017-06-26 00:00:00,01821,SILVER,85,2018-06-07 00:00:00
0000000338,MC23986,2023-03-09 00:00:00,00006,MEMBER,28,2023-07-01 00:00:00
0000000340,MC97880,2018-03-08 00:00:00,03736,SILVER,86,2018-11-08 00:00:00
0000000341,MC20765,2020-11-16 00:00:00,04807,GOLD,14,2021-10-17 00:00:00
0000000343,MC23045,2020-10-13 00:00:00,03944,SILVER,15,2020-11-15 00:00:00
0000000344,MC82364,2016-11-15 00:00:00,01348,GOLD,26,2017-07-01 00:00:00
0000000345,MC29449,2021-12-08 00:00:00,04153,GOLD,48,2022-10-08 00:00:00
0000000347,MC79434,2019-02-22 00:00:00,03593,SILVER,6,2019-06-24 00:00:00
0000000348,MC80929,2016-10-21 00:00:00,00105,SILVER,98,2017-03-06 00:00:00
0000000351,MC86366,2016-11-11 00:00:00,03339,SILVER,98,2017-09-21 00:00:00
0000000356,MC35477,2016-06-03 00:00:00,03983,SILVER,33,2017-04-25 00:00:00
0000000364,MC19024,2022-11-29 00:00:00,01444,MEMBER,51,2023-11-21 00:00:00
0000000367,MC95273,2020-07-26 00:00:00,04232,GOLD,79,2021-01-18 00:00:00
0000000368,MC88509,2021-06-03 00:00:00,04558,SILVER,56,2021-07-19 00:00:00
0000000369,MC66416,2022-02-23 00:00:00,03377,SILVER,46,2023-01-07 00:00:00
0000000373,MC32962,2018-12-19 00:00:00,00801,SILVER,0,2019-03-03 00:00:00
0000000376,MC76146,2023-12-24 00:00:00,00019,SILVER,21,2024-05-15 00:00:00
0000000377,MC49439,2017-07-30 00:00:00,01262,MEMBER,66,2017-10-08 00:00:00
0000000380,MC38553,2016-04-26 00:00:00,04150,SILVER,70,2017-01-27 00:00:00
0000000381,MC60333,2016-11-17 00:00:00,03725,SILVER,99,2017-04-30 00:00:00
0000000383,MC43845,2019-08-29 00:00:00,00075,MEMBER,80,2020-02-16 00:00:00
0000000385,MC27168,2020-04-03 00:00:00,01074,SILVER,23,2020-11-23 00:00:00
0000000387,MC10405,2021-07-10 00:00:00,02406,SILVER,58,2022-02-18 00:00:00
0000000388,MC42781,2016-01-10 00:00:00,01099,GOLD,0,2016-09-18 00:00:00
0000000390,MC36589,2019-07-25 00:00:00,02856,GOLD,24,2020-04-02 00:00:00
0000000392,MC66198,2019-10-17 00:00:00,03142,GOLD,53,2020-06-10 00:00:00
0000000395,MC54907,2015-07-21 00:00:00,04549,SILVER,34,2016-06-19 00:00:00
0000000396,MC82474,2015-02-10 00:00:00,04404,SILVER,58,2015-07-27 00:00:00
0000000397,MC53401,2018-10-15 00:00:00,04631,GOLD,84,2019-03-28 00:00:00
0000000398,MC57125,2022-08-08 00:00:00,00075,SILVER,76,2023-05-13 00:00:00
0000000400,MC90048,2016-01-30 00:00:00,03222,MEMBER,30,2016-10-12 00:00:00
0000000403,MC58401,2020-12-06 00:00:00,00320,GOLD,95,2021-08-29 00:00:00
0000000405,MC30712,2019-08-05 00:00:00,02724,GOLD,74,2020-04-16 00:00:00
0000000411,MC70136,2021-08-20 00:00:00,03472,GOLD,63,2022-02-06 00:00:00
0000000417,MC79812,2021-09-24 00:00:00,00413,SILVER,22,2022-01-03 00:00:00
0000000419,MC80480,2018-04-27 00:00:00,00911,MEMBER,15,2019-04-03 00:00:00
0000000420,MC63433,2019-03-07 00:00:00,03013,MEMBER,23,2019-07-29 00:00:00
0000000422,MC69186,2015-06-28 00:00:00,01181,GOLD,66,2016-02-28 00:00:00
0000000424,MC86891,2017-08-27 00:00:00,00808,SILVER,88,2017-10-14 00:00:00
0000000425,MC70721,2023-10-01 00:00:00,02443,MEMBER,20,2023-12-20 00:00:00
0000000429,MC59443,2023-01-14 00:00:00,03148,MEMBER,55,2023-10-08 00:00:00
0000000431,MC16997,2018-03-17 00:00:00,00197,GOLD,60,2018-05-17 00:00:00
0000000433,MC72769,2020-09-23 00:00:00,00063,MEMBER,76,2020-12-31 00:00:00
0000000434,MC14314,2019-03-06 00:00:00,01776,MEMBER,16,2019-09-26 00:00:00
0000000435,MC53783,2020-02-28 00:00:00,00393,SILVER,54,2020-05-27 00:00:00
0000000437,MC40890,2020-04-07 00:00:00,00666,SILVER,70,2020-11-17 00:00:00
0000000438,MC61960,2023-12-30 00:00:00,00046,MEMBER,10,2024-03-20 00:00:00
0000000440,MC98901,2023-08-03 00:00:00,03701,SILVER,90,2024-02-18 00:00:00
0000000441,MC44091,2020-03-18 00:00:00,01035,SILVER,36,2020-10-12 00:00:00
0000000442,MC44580,2021-06-22 00:00:00,02202,MEMBER,24,2022-06-04 00:00:00
0000000444,MC68350,2018-03-14 00:00:00,03893,SILVER,15,2018-08-25 00:00:00
0000000445,MC62586,2020-05-10 00:00:00,04917,SILVER,89,2021-05-10 00:00:00
0000000446,MC56616,2015-01-05 00:00:00,01708,GOLD,10,2015-06-29 00:00:00
0000000448,MC42535,2018-07-28 00:00:00,00025,GOLD,7,2019-01-02 00:00:00
0000000452,MC63010,2019-10-14 00:00:00,03338,MEMBER,45,2020-08-26 00:00:00
0000000454,MC25028,2019-03-01 00:00:00,02475,MEMBER,73,2019-10-02 00:00:00
0000000455,MC20888,2021-04-24 00:00:00,04646,MEMBER,3,2022-01-23 00:00:00
0000000456,MC44703,2023-10-10 00:00:00,00303,GOLD,29,2024-03-18 00:00:00
0000000458,MC13533,2017-08-02 00:00:00,04867,MEMBER,81,2017-09-28 00:00:00
0000000459,MC92190,2021-03-15 00:00:00,02214,MEMBER,50,2021-04-30 00:00:00
0000000460,MC29845,2019-08-20 00:00:00,02686,GOLD,9,2019-09-30 00:00:00
0000000461,MC23829,2020-11-27 00:00:00,03774,MEMBER,5,2020-12-29 00:00:00
0000000466,MC83077,2018-05-24 00:00:00,01962,SILVER,29,2018-09-09 00:00:00
0000000467,MC55890,2018-08-09 00:00:00,02480,GOLD,39,2019-04-24 00:00:00
0000000468,MC74712,2017-02-04 00:00:00,04808,SILVER,17,2017-10-02 00:00:00
0000000469,MC46680,2022-01-16 00:00:00,02068,SILVER,22,2022-06-17 00:00:00
0000000473,MC37710,2023-05-24 00:00:00,03944,MEMBER,18,2024-03-01 00:00:00
0000000474,MC31036,2020-11-19 00:00:00,03459,MEMBER,77,2021-08-30 00:00:00
0000000475,MC46223,2020-04-21 00:00:00,01892,SILVER,79,2020-07-10 00:00:00
0000000477,MC26498,2016-12-27 00:00:00,00638,GOLD,42,2017-02-12 00:00:00
0000000481,MC29537,2019-12-18 00:00:00,00640,SILVER,12,2020-11-26 00:00:00
0000000484,MC17721,2015-07-19 00:00:00,00845,MEMBER,14,2015-12-27 00:00:00
0000000485,MC42268,2020-06-21 00:00:00,01916,MEMBER,86,2020-09-16 00:00:00
0000000486,MC38370,2019-07-22 00:00:00,01577,MEMBER,56,2020-04-14 00:00:00
0000000487,MC65990,2016-12-05 00:00:00,02147,MEMBER,96,2017-12-04 00:00:00
0000000491,MC21019,2016-08-28 00:00:00,01714,GOLD,3,2017-02-20 00:00:00
0000000492,MC56013,2019-11-28 00:00:00,00203,SILVER,89,2020-05-18 00:00:00
0000000494,MC28544,2016-01-21 00:00:00,02376,GOLD,13,2016-08-11 00:00:00
0000000495,MC28520,2015-09-04 00:00:00,03570,MEMBER,38,2016-08-02 00:00:00
0000000496,MC73537,2017-02-05 00:00:00,00421,SILVER,13,2017-12-23 00:00:00
0000000497,MC48669,2020-08-10 00:00:00,02000,SILVER,10,2020-12-11 00:00:00
0000000498,MC96815,2019-08-18 00:00:00,00096,GOLD,29,2020-03-04 00:00:00
0000000500,MC10395,2020-06-08 00:00:00,03787,SILVER,93,2020-12-29 00:00:00
0000000506,MC17516,2021-10-18 00:00:00,02588,MEMBER,16,2022-03-15 00:00:00
0000000507,MC75066,2018-03-03 00:00:00,03750,SILVER,21,2018-12-10 00:00:00
0000000508,MC26271,2017-02-27 00:00:00,04493,MEMBER,83,2017-12-23 00:00:00
0000000509,MC96714,2015-07-22 00:00:00,02189,GOLD,91,2016-03-17 00:00:00
0000000510,MC76753,2015-08-13 00:00:00,00562,SILVER,12,2015-10-27 00:00:00
0000000511,MC67180,2016-01-03 00:00:00,04904,SILVER,3,2016-12-08 00:00:00
0000000515,MC84629,2020-02-09 00:00:00,02069,GOLD,49,2020-06-18 00:00:00
0000000517,MC54010,2016-01-25 00:00:00,02696,SILVER,93,2017-01-16 00:00:00
0000000518,MC55007,2019-04-06 00:00:00,00502,MEMBER,38,2020-02-08 00:00:00
0000000519,MC46120,2015-05-03 00:00:00,03244,SILVER,32,2015-09-14 00:00:00
0000000521,MC43521,2022-11-18 00:00:00,02420,MEMBER,31,2023-10-02 00:00:00
0000000523,MC67292,2018-08-27 00:00:00,03261,SILVER,57,2019-04-15 00:00:00
0000000524,MC80937,2020-11-07 00:00:00,01453,SILVER,55,2020-12-24 00:00:00
0000000525,MC51688,2016-06-30 00:00:00,00437,MEMBER,1,2016-08-25 00:00:00
0000000526,MC14706,2022-03-23 00:00:00,03613,SILVER,62,2022-07-01 00:00:00
0000000527,MC72371,2015-07-19 00:00:00,00527,GOLD,17,2016-01-18 00:00:00
0000000529,MC42534,2018-09-23 00:00:00,02415,SILVER,56,2018-12-28 00:00:00
0000000530,MC35444,2023-07-12 00:00:00,00585,GOLD,81,2023-12-24 00:00:00
0000000532,MC89063,2021-06-05 00:00:00,03098,MEMBER,3,2021-10-13 00:00:00
0000000533,MC52644,2022-05-28 00:00:00,02366,SILVER,42,2023-04-12 00:00:00
0000000534,MC30779,2022-08-20 00:00:00,00222,MEMBER,5,2023-01-04 00:00:00
0000000535,MC22933,2016-02-29 00:00:00,04223,GOLD,16,2016-09-16 00:00:00
0000000538,MC23058,2020-11-10 00:00:00,04479,GOLD,60,2021-09-06 00:00:00
0000000539,MC50514,2018-06-26 00:00:00,01499,SILVER,64,2018-09-15 00:00:00
0000000541,MC84547,2019-03-10 00:00:00,03673,SILVER,99,2019-08-15 00:00:00
0000000543,MC88108,2017-07-10 00:00:00,02768,GOLD,56,2018-04-22 00:00:00
0000000545,MC68494,2019-09-03 00:00:00,02385,SILVER,5,2019-11-15 00:00:00
0000000546,MC97732,2018-11-07 00:00:00,04806,GOLD,45,2019-10-24 00:00:00
0000000548,MC32126,2021-08-31 00:00:00,00194,SILVER,94,2022-07-07 00:00:00
0000000549,MC63562,2019-09-28 00:00:00,01715,SILVER,53,2020-05-13 00:00:00
0000000550,MC64712,2018-02-15 00:00:00,01878,MEMBER,48,2019-02-07 00:00:00
0000000556,MC27014,2020-08-02 00:00:00,04613,MEMBER,16,2020-10-21 00:00:00
0000000557,MC97009,2016-12-26 00:00:00,04892,MEMBER,88,2017-04-08 00:00:00
0000000562,MC78598,2016-12-22 00:00:00,01476,MEMBER,61,2017-06-03 00:00:00
0000000563,MC12841,2022-11-15 00:00:00,04981,SILVER,91,2023-11-11 00:00:00
0000000566,MC81482,2022-06-11 00:00:00,03813,SILVER,80,2023-04-27 00:00:00
0000000568,MC63665,2023-01-29 00:00:00,02915,MEMBER,3,2023-03-01 00:00:00
0000000573,MC74718,2016-01-02 00:00:00,00389,MEMBER,50,2016-04-16 00:00:00
0000000575,MC91352,2021-06-21 00:00:00,02766,GOLD,46,2021-10-23 00:00:00
0000000577,MC98679,2016-12-14 00:00:00,00394,SILVER,63,2017-09-08 00:00:00
0000000578,MC34059,2015-12-18 00:00:00,03328,SILVER,67,2016-04-24 00:00:00
0000000582,MC14224,2017-12-04 00:00:00,00763,MEMBER,94,2018-09-01 00:00:00
0000000585,MC92105,2018-11-13 00:00:00,04952,SILVER,12,2019-09-02 00:00:00
0000000587,MC45544,2016-04-29 00:00:00,00043,GOLD,17,2016-10-31 00:00:00
0000000588,MC18450,2019-11-16 00:00:00,03013,SILVER,22,2020-02-20 00:00:00
0000000594,MC46129,2019-01-11 00:00:00,04177,SILVER,30,2019-07-01 00:00:00
0000000597,MC29769,2019-11-16 00:00:00,00615,SILVER,6,2020-06-15 00:00:00
