PTicketID,BranchName,Area,NumberofCustomer,PreOrderNote
TKT0019368,{8},Area 2,10,Note for TKT0019368
TKT0088684,{3},Area 1,5,Note for TKT0088684
TKT0040147,{3},Area 1,5,Note for TKT0040147
TKT0090954,{12},Area 3,10,Note for TKT0090954
TKT0014252,{14},Area 3,3,Note for TKT0014252
TKT0061469,{14},Area 4,1,Note for TKT0061469
TKT0077962,{1},Area 1,2,Note for TKT0077962
TKT0085999,{5},Area 2,3,Note for TKT0085999
TKT0022647,{14},Area 1,5,Note for TKT0022647
TKT0088319,{1},Area 4,4,Note for TKT0088319
TKT0051226,{12},Area 4,2,Note for TKT0051226
TKT0091464,{8},Area 1,8,Note for TKT0091464
TKT0025181,{14},Area 2,3,Note for TKT0025181
TKT0014209,{2},Area 4,4,Note for TKT0014209
TKT0084528,{15},Area 3,1,Note for TKT0084528
TKT0077533,{13},Area 4,2,Note for TKT0077533
TKT0072070,{5},Area 4,6,Note for TKT0072070
TKT0037456,{8},Area 4,5,Note for TKT0037456
TKT0039987,{1},Area 4,8,Note for TKT0039987
TKT0085723,{7},Area 1,7,Note for TKT0085723
TKT0038942,{11},Area 3,1,Note for TKT0038942
TKT0087352,{15},Area 1,4,Note for TKT0087352
TKT0044798,{5},Area 1,9,Note for TKT0044798
TKT0019636,{6},Area 3,7,Note for TKT0019636
TKT0045983,{13},Area 1,10,Note for TKT0045983
TKT0050211,{5},Area 2,2,Note for TKT0050211
TKT0097294,{6},Area 4,1,Note for TKT0097294
TKT0063627,{4},Area 1,7,Note for TKT0063627
TKT0098853,{5},Area 4,6,Note for TKT0098853
TKT0044255,{3},Area 4,7,Note for TKT0044255
TKT0035832,{1},Area 4,2,Note for TKT0035832
TKT0017152,{3},Area 3,8,Note for TKT0017152
TKT0057355,{1},Area 4,3,Note for TKT0057355
TKT0057669,{5},Area 4,9,Note for TKT0057669
TKT0090608,{3},Area 4,4,Note for TKT0090608
TKT0014777,{12},Area 3,1,Note for TKT0014777
TKT0085239,{14},Area 1,2,Note for TKT0085239
TKT0092772,{10},Area 4,7,Note for TKT0092772
TKT0041138,{9},Area 3,7,Note for TKT0041138
TKT0035850,{12},Area 1,4,Note for TKT0035850
TKT0053046,{9},Area 2,3,Note for TKT0053046
TKT0022501,{5},Area 1,8,Note for TKT0022501
TKT0042696,{12},Area 1,8,Note for TKT0042696
TKT0093389,{8},Area 4,6,Note for TKT0093389
TKT0081778,{11},Area 2,4,Note for TKT0081778
TKT0074355,{1},Area 4,8,Note for TKT0074355
TKT0032217,{12},Area 2,3,Note for TKT0032217
TKT0026214,{2},Area 2,8,Note for TKT0026214
TKT0065850,{6},Area 1,10,Note for TKT0065850
TKT0015684,{11},Area 4,2,Note for TKT0015684
TKT0054745,{7},Area 4,1,Note for TKT0054745
TKT0064269,{14},Area 2,3,Note for TKT0064269
TKT0098121,{2},Area 4,10,Note for TKT0098121
TKT0099164,{14},Area 3,9,Note for TKT0099164
TKT0034571,{10},Area 3,6,Note for TKT0034571
TKT0010839,{7},Area 1,8,Note for TKT0010839
TKT0054658,{12},Area 3,4,Note for TKT0054658
TKT0096643,{5},Area 2,3,Note for TKT0096643
TKT0043246,{12},Area 1,1,Note for TKT0043246
TKT0054967,{6},Area 3,1,Note for TKT0054967
TKT0093094,{9},Area 2,3,Note for TKT0093094
TKT0037853,{6},Area 2,3,Note for TKT0037853
TKT0042606,{3},Area 1,4,Note for TKT0042606
TKT0027513,{6},Area 1,1,Note for TKT0027513
TKT0099018,{15},Area 3,4,Note for TKT0099018
TKT0066205,{13},Area 3,8,Note for TKT0066205
TKT0049611,{14},Area 1,6,Note for TKT0049611
TKT0054299,{9},Area 3,10,Note for TKT0054299
TKT0011083,{9},Area 2,7,Note for TKT0011083
TKT0064442,{1},Area 4,1,Note for TKT0064442
TKT0083674,{12},Area 1,2,Note for TKT0083674
TKT0035877,{6},Area 3,1,Note for TKT0035877
TKT0044822,{5},Area 2,7,Note for TKT0044822
TKT0078850,{12},Area 4,3,Note for TKT0078850
TKT0048955,{1},Area 4,10,Note for TKT0048955
TKT0050099,{7},Area 1,3,Note for TKT0050099
TKT0015297,{8},Area 2,5,Note for TKT0015297
TKT0020550,{2},Area 3,2,Note for TKT0020550
TKT0088467,{15},Area 1,1,Note for TKT0088467
TKT0073164,{1},Area 4,10,Note for TKT0073164
TKT0055468,{12},Area 1,2,Note for TKT0055468
TKT0011302,{2},Area 1,7,Note for TKT0011302
TKT0098759,{3},Area 1,6,Note for TKT0098759
TKT0028090,{11},Area 4,1,Note for TKT0028090
TKT0047306,{2},Area 2,2,Note for TKT0047306
TKT0011020,{8},Area 1,9,Note for TKT0011020
TKT0033938,{6},Area 2,1,Note for TKT0033938
TKT0087130,{9},Area 3,4,Note for TKT0087130
TKT0027699,{4},Area 1,9,Note for TKT0027699
TKT0012759,{5},Area 3,5,Note for TKT0012759
TKT0034233,{6},Area 1,10,Note for TKT0034233
TKT0068874,{4},Area 3,5,Note for TKT0068874
TKT0024917,{11},Area 2,4,Note for TKT0024917
TKT0027133,{3},Area 1,5,Note for TKT0027133
TKT0092275,{10},Area 2,3,Note for TKT0092275
TKT0029692,{4},Area 2,2,Note for TKT0029692
TKT0061930,{11},Area 1,5,Note for TKT0061930
TKT0048662,{7},Area 3,8,Note for TKT0048662
TKT0084565,{12},Area 3,3,Note for TKT0084565
TKT0026871,{11},Area 3,10,Note for TKT0026871
TKT0011021,{5},Area 2,2,Note for TKT0011021
TKT0010736,{2},Area 1,5,Note for TKT0010736
TKT0062874,{2},Area 3,8,Note for TKT0062874
TKT0033648,{5},Area 4,8,Note for TKT0033648
TKT0055358,{7},Area 1,2,Note for TKT0055358
TKT0069963,{6},Area 4,7,Note for TKT0069963
TKT0056502,{6},Area 3,1,Note for TKT0056502
TKT0046464,{7},Area 3,8,Note for TKT0046464
TKT0029767,{5},Area 2,7,Note for TKT0029767
TKT0085153,{9},Area 2,1,Note for TKT0085153
TKT0067945,{14},Area 2,1,Note for TKT0067945
TKT0085882,{2},Area 4,5,Note for TKT0085882
TKT0059878,{6},Area 1,7,Note for TKT0059878
TKT0060434,{5},Area 2,7,Note for TKT0060434
TKT0099489,{1},Area 3,6,Note for TKT0099489
TKT0047125,{1},Area 4,5,Note for TKT0047125
TKT0095120,{4},Area 1,7,Note for TKT0095120
TKT0085655,{3},Area 1,9,Note for TKT0085655
TKT0082905,{14},Area 2,10,Note for TKT0082905
TKT0066198,{13},Area 1,2,Note for TKT0066198
TKT0038174,{1},Area 2,9,Note for TKT0038174
TKT0096844,{15},Area 4,7,Note for TKT0096844
TKT0052325,{4},Area 3,4,Note for TKT0052325
TKT0060535,{14},Area 3,6,Note for TKT0060535
TKT0023526,{5},Area 2,2,Note for TKT0023526
TKT0037967,{15},Area 4,1,Note for TKT0037967
TKT0053324,{11},Area 3,1,Note for TKT0053324
TKT0015477,{6},Area 1,4,Note for TKT0015477
TKT0045202,{2},Area 1,7,Note for TKT0045202
TKT0098954,{6},Area 2,2,Note for TKT0098954
TKT0062659,{3},Area 4,4,Note for TKT0062659
TKT0092563,{6},Area 3,9,Note for TKT0092563
TKT0010083,{11},Area 1,5,Note for TKT0010083
TKT0066757,{3},Area 4,5,Note for TKT0066757
TKT0050918,{2},Area 2,4,Note for TKT0050918
TKT0096351,{13},Area 3,6,Note for TKT0096351
TKT0090612,{7},Area 3,2,Note for TKT0090612
TKT0038272,{2},Area 2,1,Note for TKT0038272
TKT0087160,{14},Area 1,4,Note for TKT0087160
TKT0052430,{3},Area 3,8,Note for TKT0052430
TKT0036552,{5},Area 2,6,Note for TKT0036552
TKT0073283,{8},Area 1,5,Note for TKT0073283
TKT0089483,{2},Area 4,10,Note for TKT0089483
TKT0086960,{2},Area 3,5,Note for TKT0086960
TKT0047761,{14},Area 1,3,Note for TKT0047761
TKT0030350,{7},Area 2,2,Note for TKT0030350
TKT0062366,{4},Area 2,5,Note for TKT0062366
TKT0063478,{5},Area 3,4,Note for TKT0063478
TKT0048389,{9},Area 4,6,Note for TKT0048389
TKT0072740,{12},Area 3,10,Note for TKT0072740
TKT0035094,{6},Area 4,9,Note for TKT0035094
TKT0055001,{9},Area 1,4,Note for TKT0055001
TKT0043266,{5},Area 3,1,Note for TKT0043266
TKT0095854,{10},Area 3,9,Note for TKT0095854
TKT0067458,{11},Area 2,6,Note for TKT0067458
TKT0095964,{4},Area 3,8,Note for TKT0095964
TKT0030484,{9},Area 3,9,Note for TKT0030484
TKT0084237,{15},Area 1,2,Note for TKT0084237
TKT0039531,{9},Area 2,10,Note for TKT0039531
TKT0013778,{2},Area 1,5,Note for TKT0013778
TKT0025766,{5},Area 3,10,Note for TKT0025766
TKT0075990,{1},Area 3,1,Note for TKT0075990
TKT0070555,{6},Area 3,4,Note for TKT0070555
TKT0066335,{6},Area 2,2,Note for TKT0066335
TKT0029285,{10},Area 3,10,Note for TKT0029285
TKT0093822,{14},Area 4,4,Note for TKT0093822
TKT0022109,{12},Area 1,5,Note for TKT0022109
TKT0028249,{8},Area 2,7,Note for TKT0028249
TKT0036743,{13},Area 3,5,Note for TKT0036743
TKT0088361,{2},Area 3,7,Note for TKT0088361
TKT0043303,{9},Area 4,3,Note for TKT0043303
TKT0074194,{10},Area 3,8,Note for TKT0074194
TKT0035978,{8},Area 4,2,Note for TKT0035978
TKT0056200,{2},Area 2,8,Note for TKT0056200
TKT0023233,{3},Area 2,7,Note for TKT0023233
TKT0038946,{14},Area 1,1,Note for TKT0038946
TKT0031877,{6},Area 4,9,Note for TKT0031877
TKT0080870,{3},Area 1,3,Note for TKT0080870
TKT0053380,{4},Area 3,7,Note for TKT0053380
TKT0042253,{6},Area 4,10,Note for TKT0042253
TKT0062459,{7},Area 3,1,Note for TKT0062459
TKT0093093,{7},Area 3,6,Note for TKT0093093
TKT0031609,{4},Area 4,3,Note for TKT0031609
TKT0017863,{5},Area 2,8,Note for TKT0017863
TKT0057801,{9},Area 3,5,Note for TKT0057801
TKT0059267,{2},Area 1,6,Note for TKT0059267
TKT0017434,{15},Area 2,3,Note for TKT0017434
TKT0031070,{5},Area 3,7,Note for TKT0031070
TKT0065593,{9},Area 1,5,Note for TKT0065593
TKT0013821,{10},Area 2,6,Note for TKT0013821
TKT0053074,{7},Area 4,1,Note for TKT0053074
TKT0069364,{12},Area 4,6,Note for TKT0069364
TKT0092082,{8},Area 2,4,Note for TKT0092082
TKT0022663,{14},Area 3,10,Note for TKT0022663
TKT0032906,{5},Area 4,7,Note for TKT0032906
TKT0085640,{1},Area 1,9,Note for TKT0085640
TKT0011486,{9},Area 2,6,Note for TKT0011486
TKT0023534,{12},Area 2,7,Note for TKT0023534
TKT0052277,{4},Area 4,2,Note for TKT0052277
TKT0059900,{15},Area 4,10,Note for TKT0059900
TKT0052520,{11},Area 3,8,Note for TKT0052520
TKT0022813,{8},Area 4,3,Note for TKT0022813
TKT0077454,{15},Area 1,9,Note for TKT0077454
TKT0060582,{8},Area 4,6,Note for TKT0060582
TKT0044550,{10},Area 4,2,Note for TKT0044550
TKT0090055,{2},Area 1,5,Note for TKT0090055
TKT0082243,{15},Area 3,9,Note for TKT0082243
TKT0098832,{12},Area 3,8,Note for TKT0098832
TKT0042732,{6},Area 2,3,Note for TKT0042732
TKT0031326,{14},Area 3,8,Note for TKT0031326
TKT0046377,{10},Area 4,3,Note for TKT0046377
TKT0059970,{2},Area 3,9,Note for TKT0059970
TKT0015652,{1},Area 4,1,Note for TKT0015652
TKT0094431,{15},Area 2,6,Note for TKT0094431
TKT0065099,{6},Area 4,6,Note for TKT0065099
TKT0089162,{7},Area 4,10,Note for TKT0089162
TKT0052456,{13},Area 3,1,Note for TKT0052456
TKT0052832,{9},Area 4,1,Note for TKT0052832
TKT0086477,{4},Area 4,5,Note for TKT0086477
TKT0051714,{6},Area 3,9,Note for TKT0051714
TKT0082249,{8},Area 3,10,Note for TKT0082249
TKT0029415,{7},Area 3,5,Note for TKT0029415
TKT0097152,{14},Area 2,6,Note for TKT0097152
TKT0075602,{15},Area 1,4,Note for TKT0075602
TKT0036700,{15},Area 2,4,Note for TKT0036700
TKT0073816,{11},Area 4,5,Note for TKT0073816
TKT0044144,{4},Area 1,10,Note for TKT0044144
TKT0071334,{5},Area 1,1,Note for TKT0071334
TKT0073103,{9},Area 4,3,Note for TKT0073103
TKT0015726,{7},Area 3,10,Note for TKT0015726
TKT0040339,{12},Area 2,5,Note for TKT0040339
TKT0070774,{13},Area 4,10,Note for TKT0070774
TKT0047276,{15},Area 2,8,Note for TKT0047276
TKT0034719,{5},Area 4,4,Note for TKT0034719
TKT0019788,{3},Area 2,5,Note for TKT0019788
TKT0038761,{14},Area 2,10,Note for TKT0038761
TKT0021900,{6},Area 1,4,Note for TKT0021900
TKT0022918,{5},Area 2,10,Note for TKT0022918
TKT0064973,{14},Area 2,4,Note for TKT0064973
TKT0098261,{7},Area 3,7,Note for TKT0098261
TKT0086483,{14},Area 2,3,Note for TKT0086483
TKT0034675,{13},Area 3,6,Note for TKT0034675
TKT0040364,{14},Area 2,3,Note for TKT0040364
TKT0024138,{4},Area 2,4,Note for TKT0024138
TKT0033124,{9},Area 2,8,Note for TKT0033124
TKT0082966,{6},Area 3,5,Note for TKT0082966
TKT0025996,{11},Area 4,10,Note for TKT0025996
TKT0094765,{7},Area 4,8,Note for TKT0094765
TKT0069443,{5},Area 3,6,Note for TKT0069443
TKT0070289,{8},Area 2,10,Note for TKT0070289
TKT0026006,{15},Area 3,7,Note for TKT0026006
TKT0047205,{15},Area 3,8,Note for TKT0047205
TKT0070836,{9},Area 2,4,Note for TKT0070836
TKT0076239,{13},Area 2,5,Note for TKT0076239
TKT0094428,{3},Area 1,2,Note for TKT0094428
TKT0037531,{8},Area 2,2,Note for TKT0037531
TKT0010220,{4},Area 1,8,Note for TKT0010220
TKT0036918,{2},Area 3,4,Note for TKT0036918
TKT0092579,{10},Area 3,9,Note for TKT0092579
TKT0047228,{8},Area 4,6,Note for TKT0047228
TKT0060552,{4},Area 2,7,Note for TKT0060552
TKT0010385,{9},Area 4,2,Note for TKT0010385
TKT0035190,{11},Area 3,2,Note for TKT0035190
TKT0028479,{3},Area 1,8,Note for TKT0028479
TKT0016813,{14},Area 2,7,Note for TKT0016813
TKT0045179,{10},Area 3,3,Note for TKT0045179
TKT0081355,{13},Area 2,1,Note for TKT0081355
TKT0073503,{7},Area 4,7,Note for TKT0073503
TKT0024989,{4},Area 2,4,Note for TKT0024989
TKT0068392,{14},Area 4,8,Note for TKT0068392
TKT0066968,{7},Area 1,7,Note for TKT0066968
TKT0094692,{1},Area 3,8,Note for TKT0094692
TKT0062596,{12},Area 1,9,Note for TKT0062596
TKT0063277,{2},Area 4,7,Note for TKT0063277
TKT0029605,{4},Area 3,8,Note for TKT0029605
TKT0045393,{5},Area 4,2,Note for TKT0045393
TKT0075434,{2},Area 1,8,Note for TKT0075434
TKT0048906,{10},Area 2,2,Note for TKT0048906
TKT0044687,{3},Area 1,9,Note for TKT0044687
TKT0019373,{2},Area 1,8,Note for TKT0019373
TKT0062509,{10},Area 2,2,Note for TKT0062509
TKT0042309,{4},Area 2,4,Note for TKT0042309
TKT0080919,{8},Area 2,9,Note for TKT0080919
TKT0047544,{11},Area 3,2,Note for TKT0047544
TKT0097921,{8},Area 1,7,Note for TKT0097921
TKT0064922,{15},Area 2,9,Note for TKT0064922
TKT0054652,{1},Area 1,7,Note for TKT0054652
TKT0043561,{7},Area 4,5,Note for TKT0043561
TKT0098153,{2},Area 2,9,Note for TKT0098153
TKT0061286,{14},Area 1,1,Note for TKT0061286
TKT0079939,{15},Area 1,10,Note for TKT0079939
TKT0059882,{8},Area 1,2,Note for TKT0059882
TKT0061088,{10},Area 3,4,Note for TKT0061088
TKT0076460,{10},Area 4,5,Note for TKT0076460
TKT0073852,{9},Area 3,5,Note for TKT0073852
TKT0077347,{1},Area 3,5,Note for TKT0077347
TKT0026049,{1},Area 1,4,Note for TKT0026049
TKT0051784,{13},Area 3,1,Note for TKT0051784
TKT0078598,{13},Area 2,10,Note for TKT0078598
TKT0089938,{7},Area 3,8,Note for TKT0089938
TKT0078632,{10},Area 2,9,Note for TKT0078632
TKT0076070,{9},Area 3,5,Note for TKT0076070
TKT0039356,{4},Area 1,8,Note for TKT0039356
TKT0063553,{15},Area 4,7,Note for TKT0063553
TKT0060684,{1},Area 3,8,Note for TKT0060684
TKT0048255,{8},Area 3,4,Note for TKT0048255
TKT0015251,{15},Area 4,4,Note for TKT0015251
TKT0079432,{11},Area 1,3,Note for TKT0079432
TKT0064732,{12},Area 4,4,Note for TKT0064732
TKT0095253,{7},Area 4,3,Note for TKT0095253
TKT0056884,{6},Area 1,6,Note for TKT0056884
TKT0064424,{10},Area 1,6,Note for TKT0064424
TKT0063761,{9},Area 1,6,Note for TKT0063761
TKT0032380,{13},Area 4,8,Note for TKT0032380
TKT0053362,{8},Area 1,3,Note for TKT0053362
TKT0053833,{13},Area 4,8,Note for TKT0053833
TKT0070754,{8},Area 2,7,Note for TKT0070754
TKT0033133,{11},Area 2,7,Note for TKT0033133
TKT0030145,{11},Area 1,7,Note for TKT0030145
TKT0095170,{13},Area 4,1,Note for TKT0095170
TKT0042908,{15},Area 4,6,Note for TKT0042908
TKT0047171,{9},Area 3,2,Note for TKT0047171
TKT0081736,{12},Area 1,3,Note for TKT0081736
TKT0090886,{2},Area 4,1,Note for TKT0090886
TKT0088366,{4},Area 4,9,Note for TKT0088366
TKT0013399,{15},Area 1,5,Note for TKT0013399
TKT0026466,{14},Area 3,10,Note for TKT0026466
TKT0046588,{10},Area 4,4,Note for TKT0046588
TKT0045433,{13},Area 2,10,Note for TKT0045433
TKT0012783,{4},Area 1,4,Note for TKT0012783
TKT0027837,{4},Area 1,1,Note for TKT0027837
TKT0063262,{3},Area 2,5,Note for TKT0063262
TKT0091919,{14},Area 3,7,Note for TKT0091919
TKT0073434,{9},Area 1,6,Note for TKT0073434
TKT0018771,{7},Area 4,7,Note for TKT0018771
TKT0027916,{14},Area 4,2,Note for TKT0027916
TKT0067357,{8},Area 3,2,Note for TKT0067357
TKT0050407,{7},Area 3,3,Note for TKT0050407
TKT0025133,{3},Area 3,2,Note for TKT0025133
TKT0083629,{3},Area 3,6,Note for TKT0083629
TKT0020153,{6},Area 3,2,Note for TKT0020153
TKT0045369,{3},Area 1,2,Note for TKT0045369
TKT0051540,{8},Area 2,5,Note for TKT0051540
TKT0025679,{14},Area 2,5,Note for TKT0025679
TKT0048268,{9},Area 4,2,Note for TKT0048268
TKT0053890,{15},Area 3,8,Note for TKT0053890
TKT0014527,{1},Area 1,7,Note for TKT0014527
TKT0057597,{10},Area 1,4,Note for TKT0057597
TKT0028198,{5},Area 3,6,Note for TKT0028198
TKT0014706,{1},Area 2,8,Note for TKT0014706
TKT0064231,{12},Area 2,1,Note for TKT0064231
TKT0018073,{13},Area 1,2,Note for TKT0018073
TKT0088722,{10},Area 4,8,Note for TKT0088722
TKT0092265,{14},Area 4,5,Note for TKT0092265
TKT0053430,{10},Area 1,6,Note for TKT0053430
TKT0031473,{13},Area 3,5,Note for TKT0031473
TKT0076030,{14},Area 1,1,Note for TKT0076030
TKT0018803,{3},Area 1,2,Note for TKT0018803
TKT0045815,{15},Area 1,9,Note for TKT0045815
TKT0056775,{14},Area 4,2,Note for TKT0056775
TKT0087994,{8},Area 3,4,Note for TKT0087994
TKT0071829,{2},Area 1,7,Note for TKT0071829
TKT0018972,{9},Area 1,4,Note for TKT0018972
TKT0049551,{9},Area 3,1,Note for TKT0049551
TKT0035414,{15},Area 4,5,Note for TKT0035414
TKT0063354,{4},Area 2,7,Note for TKT0063354
TKT0062888,{10},Area 2,8,Note for TKT0062888
TKT0099635,{12},Area 1,4,Note for TKT0099635
TKT0088614,{11},Area 4,3,Note for TKT0088614
TKT0016228,{13},Area 1,2,Note for TKT0016228
TKT0025239,{13},Area 2,3,Note for TKT0025239
TKT0089976,{6},Area 4,8,Note for TKT0089976
TKT0091685,{8},Area 4,4,Note for TKT0091685
TKT0092119,{9},Area 4,1,Note for TKT0092119
TKT0099184,{6},Area 1,1,Note for TKT0099184
TKT0012082,{8},Area 3,4,Note for TKT0012082
TKT0029450,{12},Area 4,3,Note for TKT0029450
TKT0095146,{15},Area 2,8,Note for TKT0095146
TKT0057591,{12},Area 1,8,Note for TKT0057591
TKT0037973,{10},Area 1,1,Note for TKT0037973
TKT0085404,{3},Area 1,8,Note for TKT0085404
TKT0055377,{8},Area 2,7,Note for TKT0055377
TKT0010190,{15},Area 1,8,Note for TKT0010190
TKT0029479,{9},Area 3,7,Note for TKT0029479
TKT0079129,{12},Area 3,3,Note for TKT0079129
TKT0057831,{12},Area 4,1,Note for TKT0057831
TKT0038639,{15},Area 3,2,Note for TKT0038639
TKT0086183,{9},Area 1,5,Note for TKT0086183
TKT0085862,{3},Area 4,6,Note for TKT0085862
TKT0070968,{6},Area 4,2,Note for TKT0070968
TKT0070723,{2},Area 2,1,Note for TKT0070723
TKT0087147,{3},Area 2,4,Note for TKT0087147
