OCCCD,LoginDate,LoginDuration
0000000106,2021-11-01 00:44:39,20
0000000106,2020-07-01 19:18:11,14
0000000108,2022-08-22 21:09:32,46
0000000108,2023-05-01 17:25:32,60
0000000109,2021-12-22 10:03:52,23
0000000109,2022-01-26 05:45:03,17
0000000110,2022-08-10 14:25:29,11
0000000110,2021-07-26 05:05:36,6
0000000111,2021-12-13 17:11:56,16
0000000111,2020-01-15 03:17:49,34
0000000112,2020-08-08 17:30:46,13
0000000112,2023-08-29 06:07:23,24
0000000113,2022-06-21 20:00:08,41
0000000113,2023-07-21 12:06:26,5
0000000117,2024-08-23 12:14:02,9
0000000117,2020-03-02 21:30:36,1
0000000120,2023-06-24 21:00:50,14
0000000120,2020-07-25 20:42:26,59
0000000125,2022-03-12 10:32:43,32
0000000125,2022-10-27 11:35:36,51
0000000126,2023-12-21 14:30:10,7
0000000126,2023-11-14 19:52:06,19
0000000128,2023-07-31 15:01:33,41
0000000128,2024-11-21 14:56:12,11
0000000132,2023-07-22 04:49:11,9
0000000132,2024-12-27 01:01:59,4
0000000133,2020-04-23 15:33:35,58
0000000133,2022-10-01 05:25:35,8
0000000134,2022-11-26 01:41:30,8
0000000134,2022-07-22 19:35:03,44
0000000135,2023-07-04 21:48:47,20
0000000135,2021-10-23 01:58:19,46
0000000138,2020-09-08 22:29:36,9
0000000138,2024-12-01 14:44:09,19
0000000141,2022-02-16 14:09:29,27
0000000141,2021-12-08 19:04:46,14
0000000142,2022-04-02 17:52:41,49
0000000142,2022-03-05 18:32:53,18
0000000144,2024-03-25 19:39:15,48
0000000144,2023-06-23 23:26:15,2
0000000145,2020-01-27 21:05:45,52
0000000145,2021-04-29 22:56:25,41
0000000147,2023-08-04 18:35:26,43
0000000147,2024-09-13 19:43:46,57
0000000148,2021-04-02 01:05:13,50
0000000148,2021-05-20 15:11:04,40
0000000149,2020-05-12 15:05:30,11
0000000149,2020-09-02 06:53:07,10
0000000155,2024-10-10 05:20:30,2
0000000155,2023-01-30 20:39:08,19
0000000157,2023-11-05 06:46:26,6
0000000157,2023-09-27 22:44:43,16
0000000158,2021-03-05 01:51:21,48
0000000158,2023-07-22 01:04:58,1
0000000159,2023-08-18 19:41:37,41
0000000159,2022-09-22 19:41:29,15
0000000160,2021-03-01 00:29:21,5
0000000160,2022-03-31 21:59:27,39
0000000163,2024-05-25 10:40:50,18
0000000163,2022-11-30 15:33:19,13
0000000165,2023-04-01 11:09:39,22
0000000165,2023-09-16 04:34:41,37
0000000167,2023-11-16 10:37:11,26
0000000167,2024-01-01 14:32:07,35
0000000171,2023-02-09 02:46:45,48
0000000171,2021-07-09 20:09:04,32
0000000175,2023-06-25 02:58:18,35
0000000175,2023-01-31 15:27:42,16
0000000176,2020-05-27 01:47:46,49
0000000176,2020-01-14 09:12:45,13
0000000177,2023-01-01 23:19:25,47
0000000177,2023-06-22 22:42:59,59
0000000179,2023-08-01 16:02:05,2
0000000179,2024-10-14 22:53:51,7
0000000184,2021-04-23 21:05:34,28
0000000184,2024-09-28 00:04:37,49
0000000187,2023-02-14 08:13:37,51
0000000187,2024-06-04 21:18:29,7
0000000188,2023-08-26 00:51:27,11
0000000188,2021-03-05 18:23:21,39
0000000194,2023-12-12 01:03:42,3
0000000194,2021-10-10 00:03:51,52
0000000196,2020-08-06 19:52:00,37
0000000196,2023-11-13 11:54:54,34
0000000202,2024-12-18 15:51:58,53
0000000202,2023-01-04 20:42:44,12
0000000203,2023-03-18 21:53:54,41
0000000203,2020-07-18 13:22:02,54
0000000208,2023-11-02 23:42:02,56
0000000208,2022-11-05 02:11:11,32
0000000209,2021-08-30 23:50:20,53
0000000209,2020-05-01 06:58:10,40
0000000210,2021-03-19 22:14:41,50
0000000210,2023-03-16 23:10:19,57
0000000211,2020-05-06 17:27:19,50
0000000211,2023-07-03 02:03:01,32
0000000213,2020-09-21 22:34:08,28
0000000213,2024-03-25 03:53:39,42
0000000216,2023-03-02 10:56:26,49
0000000216,2020-04-20 07:10:08,16
0000000217,2020-05-27 17:41:47,55
0000000217,2024-02-04 17:27:43,33
0000000218,2021-07-11 23:09:26,29
0000000218,2020-12-25 01:36:04,33
0000000220,2024-10-18 08:40:49,7
0000000220,2024-05-22 19:33:17,56
0000000221,2023-10-16 00:55:43,3
0000000221,2024-12-21 18:19:05,47
0000000223,2022-04-13 14:57:46,25
0000000223,2022-02-22 14:24:42,6
0000000224,2022-09-16 03:44:56,21
0000000224,2024-03-30 21:20:59,34
0000000226,2020-05-16 01:41:17,2
0000000226,2021-10-12 00:44:23,56
0000000229,2022-10-05 07:04:37,24
0000000229,2021-10-10 05:09:51,41
0000000231,2023-08-13 11:25:30,14
0000000231,2022-12-10 13:47:54,23
0000000234,2020-06-26 03:01:06,56
0000000234,2024-09-24 01:56:51,38
0000000235,2023-02-03 09:48:37,20
0000000235,2020-06-06 01:02:16,5
0000000236,2020-01-01 05:39:56,27
0000000236,2023-12-23 12:55:21,26
0000000238,2024-11-13 17:31:41,36
0000000238,2024-12-31 00:06:50,20
0000000240,2021-02-28 03:52:18,25
0000000240,2020-11-25 10:57:53,24
0000000243,2020-08-17 14:32:39,53
0000000243,2021-08-07 17:47:23,14
0000000244,2024-05-22 20:26:33,32
0000000244,2024-04-16 13:15:01,21
0000000245,2022-07-15 11:33:02,31
0000000245,2023-09-04 14:16:35,16
0000000246,2021-02-12 16:14:57,26
0000000246,2024-08-18 07:27:23,36
0000000249,2020-10-04 06:05:59,57
0000000249,2021-07-09 20:42:10,41
0000000252,2023-04-02 04:44:30,26
0000000252,2022-05-27 19:31:30,18
0000000253,2022-06-17 18:33:56,38
0000000253,2022-12-27 23:32:01,27
0000000255,2021-07-07 04:09:42,10
0000000255,2022-05-21 22:54:04,13
0000000257,2022-09-23 17:14:31,34
0000000257,2020-05-24 07:44:09,5
0000000260,2023-07-24 19:39:01,37
0000000260,2020-10-12 21:15:35,58
0000000263,2021-11-03 14:59:38,60
0000000263,2022-02-05 12:47:00,8
0000000265,2022-01-07 14:54:41,2
0000000265,2023-08-08 22:18:06,45
0000000268,2020-07-23 06:45:49,54
0000000268,2023-05-17 20:21:40,11
0000000269,2022-11-16 04:04:32,12
0000000269,2023-03-30 03:39:46,20
0000000270,2024-09-01 11:07:53,20
0000000270,2021-10-05 13:52:54,28
0000000272,2021-05-27 07:03:19,60
0000000272,2024-01-20 10:05:07,48
0000000273,2020-03-17 17:16:09,53
0000000273,2022-02-24 20:00:26,58
0000000279,2021-12-26 17:08:52,55
0000000279,2023-11-04 03:43:24,31
0000000281,2022-03-28 01:02:29,43
0000000281,2021-01-23 20:17:34,48
0000000282,2024-04-11 09:57:44,28
0000000282,2022-11-10 14:11:35,41
0000000283,2022-07-23 04:00:09,54
0000000283,2024-03-01 00:31:48,27
0000000284,2020-08-12 17:29:55,30
0000000284,2020-03-07 03:51:54,26
0000000285,2024-03-03 05:10:08,5
0000000285,2024-09-17 13:57:03,38
0000000286,2021-09-05 09:05:33,58
0000000286,2024-09-25 13:42:33,8
0000000287,2020-05-09 17:05:55,44
0000000287,2023-10-09 00:06:52,54
0000000288,2023-10-12 11:08:41,16
0000000288,2020-12-10 18:06:04,24
0000000289,2024-05-03 01:36:03,34
0000000289,2020-06-23 20:16:58,1
0000000290,2021-04-29 22:05:03,8
0000000290,2021-12-19 18:46:12,18
0000000291,2020-04-28 03:54:43,5
0000000291,2023-05-04 14:31:19,35
0000000297,2020-08-26 16:50:56,13
0000000297,2023-04-29 06:24:56,45
0000000298,2020-04-24 06:47:15,27
0000000298,2020-10-23 14:30:01,51
0000000301,2024-01-12 19:18:29,34
0000000301,2023-11-15 02:24:44,14
0000000302,2020-02-03 20:56:55,43
0000000302,2020-04-11 18:12:23,19
0000000304,2021-12-05 13:13:42,29
0000000304,2024-04-13 03:08:46,9
0000000305,2021-12-06 09:51:50,29
0000000305,2020-08-14 03:31:30,48
0000000306,2023-11-08 12:20:06,19
0000000306,2020-09-23 08:21:22,30
0000000308,2023-01-19 04:13:51,41
0000000308,2024-03-18 18:03:56,39
0000000309,2024-09-08 05:30:16,44
0000000309,2022-11-07 12:42:20,42
0000000310,2021-04-05 17:02:00,14
0000000310,2021-08-18 03:30:28,37
0000000312,2021-01-26 10:11:29,13
0000000312,2023-03-10 12:22:29,15
0000000316,2020-08-19 07:33:56,52
0000000316,2021-12-31 12:34:07,31
0000000322,2024-01-26 15:10:12,19
0000000322,2021-03-31 09:22:54,59
0000000324,2020-10-27 18:45:17,48
0000000324,2021-10-06 23:21:18,52
0000000326,2021-01-24 03:11:33,13
0000000326,2021-05-20 14:10:17,20
0000000328,2022-01-08 03:46:14,45
0000000328,2023-02-08 22:30:23,35
0000000329,2024-05-24 20:21:32,40
0000000329,2024-12-23 10:20:29,31
0000000330,2020-09-04 16:25:35,8
0000000330,2024-08-26 22:59:28,1
0000000333,2022-05-06 16:27:53,48
0000000333,2022-10-29 17:25:16,16
0000000335,2024-05-09 14:49:58,2
0000000335,2023-05-26 06:31:37,59
0000000336,2020-11-09 17:32:37,2
0000000336,2021-09-22 13:37:30,35
0000000340,2022-09-24 13:42:02,12
0000000340,2022-01-02 15:46:38,50
0000000343,2021-04-20 17:07:06,56
0000000343,2020-05-05 10:45:15,19
0000000344,2022-11-12 02:45:48,3
0000000344,2023-12-13 19:59:02,40
0000000345,2021-09-17 09:31:10,32
0000000345,2022-08-05 06:55:51,35
0000000347,2022-02-11 21:40:30,39
0000000347,2024-12-07 06:49:44,6
0000000350,2023-06-02 16:57:34,2
0000000350,2021-02-09 21:18:22,18
0000000354,2020-10-06 13:25:59,54
0000000354,2022-03-02 02:40:12,58
0000000356,2021-07-05 11:37:25,41
0000000356,2021-06-19 01:34:14,37
0000000360,2024-04-25 17:50:16,7
0000000360,2021-10-13 22:40:17,27
0000000362,2024-01-08 15:03:08,42
0000000362,2022-09-17 20:08:46,8
0000000363,2020-03-24 17:13:50,22
0000000363,2023-04-08 07:08:40,38
0000000364,2021-08-28 03:51:40,15
0000000364,2020-05-23 01:46:19,50
0000000365,2021-09-08 06:41:04,57
0000000365,2020-12-19 14:37:45,40
0000000366,2021-04-06 07:06:07,4
0000000366,2022-05-07 12:07:22,34
0000000368,2022-03-14 07:47:18,27
0000000368,2020-09-08 21:46:07,48
0000000369,2024-01-16 20:38:49,58
0000000369,2023-07-09 14:35:14,57
0000000370,2024-09-03 10:38:58,29
0000000370,2024-08-13 09:39:38,48
0000000372,2020-06-11 03:07:21,10
0000000372,2020-07-05 23:06:01,43
0000000373,2023-03-12 04:58:20,55
0000000373,2023-05-29 20:45:55,1
0000000374,2023-04-10 16:55:09,39
0000000374,2020-11-12 03:03:35,58
0000000377,2020-05-08 05:51:53,52
0000000377,2021-09-29 22:50:57,54
0000000379,2023-11-17 19:12:34,58
0000000379,2022-03-31 00:45:16,31
0000000380,2023-01-10 15:52:53,2
0000000380,2023-06-12 05:03:44,21
0000000382,2020-12-15 03:38:30,46
0000000382,2024-04-04 00:14:16,10
0000000384,2024-06-06 12:04:10,23
0000000384,2024-10-25 03:44:02,12
0000000385,2024-11-13 15:14:59,58
0000000385,2024-01-27 06:15:57,20
0000000388,2022-03-08 02:00:12,43
0000000388,2024-03-25 01:24:54,37
0000000390,2024-04-16 03:05:24,9
0000000390,2020-04-03 04:15:55,29
0000000391,2024-04-03 20:27:36,8
0000000391,2023-04-16 22:07:17,43
0000000393,2020-03-14 22:41:33,53
0000000393,2022-05-10 09:29:33,20
0000000394,2021-08-19 00:06:13,7
0000000394,2022-02-19 16:04:03,32
0000000396,2024-05-06 19:13:14,53
0000000396,2022-12-03 17:37:01,6
0000000399,2023-07-25 09:30:18,1
0000000399,2023-01-30 23:26:50,32
0000000400,2020-06-16 05:53:13,31
0000000400,2024-03-20 17:12:38,45
0000000402,2023-06-25 06:59:45,30
0000000402,2024-07-19 20:38:06,59
0000000405,2024-12-25 09:01:51,42
0000000405,2023-11-28 15:48:06,47
0000000407,2023-03-19 08:22:05,2
0000000407,2021-11-05 02:59:24,6
0000000408,2022-09-04 03:41:17,51
0000000408,2024-07-26 10:43:50,44
0000000410,2022-04-26 07:23:14,39
0000000410,2024-07-24 11:56:12,56
0000000413,2024-08-12 05:31:40,13
0000000413,2020-07-16 19:00:45,18
0000000414,2024-08-31 21:59:21,41
0000000414,2021-07-17 15:29:32,47
0000000415,2024-05-25 00:18:18,13
0000000415,2022-03-27 20:23:24,9
0000000416,2021-04-17 16:20:54,29
0000000416,2022-07-31 13:26:28,43
0000000419,2020-06-20 13:02:24,25
0000000419,2020-09-06 15:28:56,9
0000000420,2022-07-17 03:04:48,55
0000000420,2023-04-01 09:32:38,37
0000000422,2022-10-31 18:58:05,58
0000000422,2021-12-19 00:50:08,57
0000000425,2021-09-09 12:36:55,21
0000000425,2021-02-11 14:02:59,27
0000000431,2020-05-17 19:51:36,58
0000000431,2022-05-19 14:28:13,30
0000000434,2022-11-21 23:30:39,9
0000000434,2022-01-01 16:14:04,26
0000000435,2022-10-09 22:56:28,10
0000000435,2021-05-26 02:06:24,14
0000000436,2023-08-10 18:31:15,15
0000000436,2023-07-09 01:39:23,33
0000000437,2023-11-20 05:24:12,45
0000000437,2020-03-29 23:52:48,57
0000000438,2021-07-05 01:07:18,27
0000000438,2024-12-10 04:34:30,28
0000000441,2021-06-06 06:28:34,45
0000000441,2023-06-23 12:45:05,49
0000000444,2022-11-14 07:57:27,49
0000000444,2022-07-30 04:56:15,19
0000000445,2024-04-10 07:06:07,58
0000000445,2021-10-01 15:19:14,52
0000000446,2021-07-12 10:14:33,49
0000000446,2020-02-29 07:04:41,35
0000000448,2024-12-02 09:09:23,5
0000000448,2022-09-05 01:04:38,35
0000000449,2021-07-18 09:03:18,46
0000000449,2020-07-21 06:49:36,25
0000000451,2020-09-24 01:46:33,37
0000000451,2022-04-14 00:05:22,44
0000000453,2023-09-22 22:28:05,37
0000000453,2021-03-04 15:55:56,23
0000000456,2021-09-13 05:00:25,42
0000000456,2024-01-30 22:02:33,19
0000000457,2023-08-12 00:58:39,13
0000000457,2021-07-02 08:37:24,21
0000000462,2023-04-10 07:48:37,29
0000000462,2024-09-03 04:55:34,33
0000000465,2021-03-22 16:45:02,26
0000000465,2024-10-17 05:03:03,10
0000000466,2022-12-09 10:36:20,50
0000000466,2021-10-12 16:58:59,55
0000000468,2021-08-07 07:39:25,43
0000000468,2024-06-12 07:34:16,16
0000000469,2020-11-28 12:43:00,18
0000000469,2022-08-28 07:56:24,2
0000000470,2022-10-22 20:18:13,7
0000000470,2023-07-14 11:27:18,42
0000000473,2023-04-20 18:43:41,31
0000000473,2020-11-11 22:53:38,26
0000000475,2021-12-07 21:30:17,22
0000000475,2022-10-29 21:07:54,57
0000000476,2021-02-02 07:03:01,14
0000000476,2020-06-03 08:35:55,60
0000000479,2021-05-04 01:34:29,35
0000000479,2023-07-07 18:32:04,45
0000000480,2020-08-20 12:19:36,11
0000000480,2023-06-05 13:57:14,28
0000000481,2022-07-10 06:21:31,30
0000000481,2022-06-19 15:37:11,32
0000000482,2020-06-10 13:14:07,26
0000000482,2021-06-02 23:18:24,3
0000000483,2022-09-19 23:15:34,7
0000000483,2023-07-09 09:08:02,59
0000000484,2023-01-02 16:21:34,28
0000000484,2021-12-18 14:16:28,5
0000000486,2021-01-15 10:42:58,11
0000000486,2020-06-21 12:04:23,29
0000000489,2023-12-08 07:17:58,8
0000000489,2023-07-28 18:37:30,37
0000000492,2024-12-07 21:11:49,22
0000000492,2020-12-27 00:05:18,29
0000000493,2020-03-25 00:32:50,40
0000000493,2024-01-17 00:31:49,42
0000000494,2022-01-15 02:32:21,35
0000000494,2020-05-04 15:54:15,49
0000000495,2024-09-02 09:15:26,54
0000000495,2023-09-08 16:19:48,25
0000000497,2023-01-02 04:18:09,34
0000000497,2023-11-07 23:12:48,23
0000000499,2021-11-02 22:16:04,54
0000000499,2023-03-09 00:39:19,2
0000000500,2023-05-27 11:55:22,27
0000000500,2023-12-27 02:56:30,23
0000000502,2024-07-14 18:19:58,36
0000000502,2023-02-27 11:01:55,27
0000000504,2024-12-30 23:08:20,17
0000000504,2022-03-21 21:20:52,45
0000000505,2023-11-19 10:37:02,29
0000000505,2021-03-13 09:04:13,56
0000000506,2022-12-07 20:01:25,39
0000000506,2021-12-06 21:38:01,53
0000000507,2024-09-13 14:48:56,54
0000000507,2022-06-20 13:50:51,1
0000000509,2020-03-28 00:41:20,25
0000000509,2023-05-25 11:20:12,37
0000000511,2024-07-11 08:47:32,29
0000000511,2023-04-22 04:38:48,59
0000000512,2021-07-27 17:10:48,52
0000000512,2022-08-28 14:38:48,3
0000000515,2023-05-09 00:59:00,46
0000000515,2020-01-12 17:16:59,21
0000000519,2021-06-11 11:59:27,58
0000000519,2024-09-24 06:55:55,8
0000000522,2022-11-12 09:03:44,25
0000000522,2022-11-21 12:13:31,25
0000000524,2021-06-10 17:56:56,57
0000000524,2024-09-12 03:51:27,52
0000000525,2022-06-20 17:48:52,47
0000000525,2024-03-24 03:12:31,41
0000000526,2021-03-07 06:16:57,42
0000000526,2024-05-22 19:47:28,40
0000000527,2023-07-31 04:52:06,19
0000000527,2023-08-21 22:53:12,48
0000000528,2023-07-22 00:57:32,2
0000000528,2024-04-10 00:08:52,57
0000000530,2020-05-16 13:47:02,48
0000000530,2022-04-05 09:58:35,31
0000000532,2024-01-26 17:11:47,54
0000000532,2020-02-17 20:27:48,33
0000000534,2024-05-03 12:52:25,55
0000000534,2021-04-17 06:30:55,29
0000000535,2024-05-28 01:37:51,2
0000000535,2020-12-06 08:34:00,46
0000000536,2021-03-15 02:06:51,22
0000000536,2024-10-09 22:25:10,15
0000000538,2021-02-13 20:13:17,30
0000000538,2024-05-26 07:34:45,32
0000000539,2020-12-04 20:01:40,27
0000000539,2021-08-26 11:36:48,45
0000000541,2023-09-25 01:39:13,42
0000000541,2023-05-16 10:38:09,56
0000000542,2021-07-20 04:53:28,13
0000000542,2021-06-14 06:01:30,60
0000000543,2020-01-06 17:47:23,47
0000000543,2022-04-05 12:51:29,50
0000000544,2020-06-17 17:29:26,32
0000000544,2023-12-24 08:40:59,25
0000000545,2023-09-18 09:04:59,44
0000000545,2022-03-02 06:28:12,35
0000000551,2023-08-26 12:15:26,12
0000000551,2020-10-16 17:05:30,49
0000000556,2020-07-14 22:42:47,13
0000000556,2020-10-17 08:03:44,22
0000000560,2024-12-26 22:07:42,17
0000000560,2022-06-02 18:13:19,48
0000000561,2020-12-15 06:18:54,50
0000000561,2022-11-30 08:48:54,48
0000000563,2022-03-08 17:40:21,26
0000000563,2021-03-30 14:20:57,28
0000000564,2021-08-29 20:56:30,57
0000000564,2021-01-27 18:55:17,44
0000000565,2023-09-19 13:20:30,38
0000000565,2023-02-20 08:22:48,41
0000000567,2024-01-09 12:37:08,16
0000000567,2021-05-01 11:40:12,30
0000000570,2022-08-14 20:58:19,10
0000000570,2024-10-01 19:45:58,56
0000000571,2022-01-11 01:51:18,53
0000000571,2021-09-06 11:49:43,16
0000000572,2020-08-27 03:47:56,5
0000000572,2024-08-02 00:00:25,60
0000000573,2020-12-29 20:06:26,51
0000000573,2024-11-07 04:29:26,55
0000000575,2022-02-01 01:05:54,44
0000000575,2024-10-04 20:09:45,29
0000000576,2023-11-17 15:07:13,37
0000000576,2021-07-15 12:23:41,9
0000000578,2024-12-06 16:56:03,9
0000000578,2023-05-05 13:11:27,18
0000000579,2023-05-19 17:21:03,36
0000000579,2023-04-23 06:26:56,41
0000000580,2024-08-30 14:29:14,53
0000000580,2020-01-13 14:30:48,11
0000000582,2023-07-03 21:05:31,2
0000000582,2022-03-13 04:02:11,36
0000000583,2023-04-19 08:59:50,9
0000000583,2024-06-26 04:57:32,15
0000000586,2023-03-27 10:21:50,40
0000000586,2023-01-08 06:21:42,25
0000000587,2024-09-19 23:56:38,3
0000000587,2020-12-08 17:45:49,53
0000000588,2024-09-22 10:48:26,5
0000000588,2021-12-02 20:03:30,14
0000000590,2024-03-01 07:18:18,33
0000000590,2022-01-02 06:08:36,40
0000000593,2022-03-08 12:39:52,28
0000000593,2022-11-07 02:05:53,19
0000000594,2023-01-19 22:03:33,35
0000000594,2020-06-07 04:14:13,32
0000000596,2022-10-24 22:22:13,22
0000000596,2022-10-18 20:39:54,59
0000000597,2020-08-29 15:35:30,41
0000000597,2023-10-05 18:19:34,53
0000000599,2023-12-02 11:06:30,48
0000000599,2024-07-25 12:20:22,50
0000000600,2020-11-13 13:55:48,38
0000000600,2022-12-27 18:33:19,33
0000000602,2024-01-11 04:26:20,13
0000000602,2022-03-07 23:22:33,27
0000000604,2021-06-03 21:24:36,45
0000000604,2024-04-12 11:50:20,60
0000000606,2023-05-15 19:32:32,15
0000000606,2024-01-17 09:51:53,35
0000000607,2021-07-29 01:04:00,57
0000000607,2024-03-27 08:37:48,48
0000000608,2021-06-07 16:34:59,15
0000000608,2024-11-19 11:00:26,28
0000000609,2020-07-03 09:20:06,9
0000000609,2020-02-06 16:13:43,33
0000000611,2024-05-06 12:17:18,27
0000000611,2020-08-30 16:21:59,38
0000000612,2020-03-26 08:34:31,28
0000000612,2020-06-16 23:04:45,3
0000000615,2022-03-28 11:52:37,18
0000000615,2023-09-03 00:07:02,12
0000000617,2022-04-17 20:36:02,38
0000000617,2024-07-19 05:24:24,38
0000000620,2024-06-18 21:45:46,28
0000000620,2021-01-10 10:52:37,60
0000000623,2023-09-04 03:47:43,30
0000000623,2020-02-25 00:30:48,37
0000000624,2022-05-24 12:54:13,35
0000000624,2023-10-11 21:14:26,33
0000000625,2023-10-28 04:06:01,5
0000000625,2020-05-31 07:14:43,4
0000000626,2023-09-17 00:10:14,38
0000000626,2024-01-19 02:29:23,24
0000000630,2020-07-25 19:40:09,9
0000000630,2023-05-01 06:37:15,32
0000000633,2021-11-21 08:04:23,20
0000000633,2022-02-13 11:40:05,51
0000000635,2024-04-06 09:56:05,30
0000000635,2024-02-22 19:34:40,35
0000000636,2023-07-27 19:03:15,29
0000000636,2024-10-11 00:19:44,23
0000000637,2020-04-13 20:52:21,40
0000000637,2021-04-18 13:23:43,9
0000000639,2022-10-10 08:11:02,36
0000000639,2020-11-10 23:37:08,1
0000000642,2020-09-29 08:31:51,35
0000000642,2022-10-19 14:38:56,49
0000000643,2024-04-11 22:43:55,40
0000000643,2022-03-02 22:51:23,29
0000000645,2024-12-28 04:29:22,59
0000000645,2023-04-08 02:31:10,21
0000000651,2022-05-18 23:07:01,53
0000000651,2020-09-28 21:23:44,30
0000000652,2023-04-17 07:12:50,21
0000000652,2023-03-26 22:03:58,34
0000000654,2023-01-03 03:28:30,42
0000000654,2024-10-15 10:59:08,13
0000000658,2021-07-19 09:37:43,45
0000000658,2023-03-03 21:59:53,6
0000000659,2021-10-06 23:55:16,42
0000000659,2020-05-17 18:17:47,16
0000000661,2021-01-23 14:27:37,2
0000000661,2022-01-27 07:06:20,9
0000000662,2022-10-13 15:44:01,50
0000000662,2020-08-04 14:57:55,9
